id	name	description	synonyms
UBERON:0000000	processual entity	An occurrent that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.	[]
UBERON:0000002	uterine cervix	Lower, narrow portion of the uterus where it joins with the top end of the vagina.	["canalis cervicis uteri","caudal segment of uterus","cervical canal of uterus","cervix","cervix uteri","neck of uterus","uterine cervix"]
UBERON:0000003	naris	Orifice of the olfactory system. The naris is the route by which odorants enter the olfactory system.	[]
UBERON:0000004	nose	The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.	["nasal sac","nose","peripheral olfactory organ"]
UBERON:0000005	chemosensory organ		["chemosensory sensory organ"]
UBERON:0000006	islet of Langerhans	the clusters of hormone-producing cells that are scattered throughout the pancreas	["pancreatic insula","pancreatic islet"]
UBERON:0000007	pituitary gland	The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin.	["glandula pituitaria","Hp","pituitary","pituitary body"]
UBERON:0000009	submucosa	A layer of dense irregular connective tissue that lines organs and supports the mucosa, as well as joins the mucosa to the bulk of underlying smooth muscle..	["organ submucosa","region of submucosa","submucosa of organ","submucosa of region of organ"]
UBERON:0000010	peripheral nervous system	A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands.	["pars peripherica","PNS","systema nervosum periphericum"]
UBERON:0000011	parasympathetic nervous system	The parasympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system. Parasympathetic nerves emerge cranially as pre ganglionic fibers from oculomotor, facial, glossopharyngeal and vagus and from the sacral region of the spinal cord. Most neurons are cholinergic and responses are mediated by muscarinic receptors. The parasympathetic system innervates, for example: salivary glands, thoracic and abdominal viscera, bladder and genitalia.	["parasympathetic part of autonomic division of nervous system","pars parasympathica divisionis autonomici systematis nervosi","PNS - parasympathetic"]
UBERON:0000012	somatic nervous system	Part of peripheral nervous system that includes the somatic parts of the cranial and spinal nerves and their ganglia and the peripheral sensory receptors.	["PNS - somatic","somatic nervous system, somatic division","somatic part of peripheral nervous system","somatic peripheral nervous system"]
UBERON:0000013	sympathetic nervous system	The sympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system (the other being the parasympathetic nervous system). The sympathetic preganglionic neurons have their cell bodies in the thoracic and lumbar regions of the spinal cord and connect to the paravertebral chain of sympathetic ganglia. Innervate heart and blood vessels, sweat glands, viscera and the adrenal medulla. Most sympathetic neurons, but not all, use noradrenaline as a post-ganglionic neurotransmitter.	["pars sympathica divisionis autonomici systematis nervosi","sympathetic nervous system","sympathetic part of autonomic division of nervous system"]
UBERON:0000014	zone of skin	Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis.	["portion of skin","region of skin","skin","skin region","skin zone"]
UBERON:0000015	non-material anatomical boundary	A non-material anatomical entity of two dimensions. Anatomical boundaries are contiguous structures.	["anatomical boundary"]
UBERON:0000016	endocrine pancreas	The part of the pancreas that is part of the endocrine system and is made up of islet cells, which produce insulin, glucagon and somatostatin.	["endocrine pancreas","pars endocrina pancreatis"]
UBERON:0000017	exocrine pancreas	The part of the pancreas that is part of the exocrine system and which produces and store zymogens of digestive enzymes, such as chymotrypsinogen and trypsinogen in the acinar cells.	["exocrine pancreas","pars exocrina pancreatis"]
UBERON:0000018	compound eye	A light sensing organ composed of ommatidia	[]
UBERON:0000019	camera-type eye	An organ of sight that includes the camera-type eyeball and supporting structures such as the lacrimal apparatus, the conjunctiva, the eyelid.	["eye","regio orbitalis"]
UBERON:0000020	sense organ	An organ that is capable of transducing sensory stimulus to the nervous system.	["organ of sense organ system","organ of sensory organ system","organ of sensory system","sense organ system organ","sensory organ","sensory organ system organ","sensory system organ"]
UBERON:0000021	cutaneous appendage	Anatomical projection that protrudes from the skin. Examples: hair, nail, feather, claw, hoof, horn, wattle, spur, beak, antler, bristle and some scales.	["skin appendage"]
UBERON:0000022	feather	one of the epidermal growths that form the distinctive outer covering, or plumage, on birds. Feathers are formed in tiny follicles in the epidermis, or outer skin layer, that produce keratin proteins.	[]
UBERON:0000023	wing	Appendage that is shaped in order to produce lift for flight through the air.	["aliform appendage"]
UBERON:0000024	forelimb wing	Forelimb that is used to produce lift for flight through the air.	[]
UBERON:0000025	tube	Any hollow cylindrical anatomical structure containing a lumen through which substances are transported.	["anatomical tube"]
UBERON:0000026	appendage	Major subdivision of an organism that protrudes from the body.	[]
UBERON:0000029	lymph node	Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph.	[]
