id	name	description	synonyms
OBI:0002759	ribosomal RNA-depleted RNA sequencing assay	An RNA-seq assay in which highly abundant ribosomal RNAs are removed from total RNA before sequencing, resulting in more efficient transcript/gene detection.	["rRNA-deleted RNA sequencing assay"]
OBI:0002760	metatranscriptome sequencing assay	An RNA-seq assay that determines the RNA sequence of microbial transcripts from a microbioal community of mixed species from a given microbiome.	[]
OBI:0002761	lipid profiling assay	An analyte assay assay that detects and identifies lipids resulting from biochemical and cellular metabolism.	["lipidomic assay"]
OBI:0002763	16s ribosomal gene sequencing assay	An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.	["16S rRNA sequencing assay"]
OBI:0002765	microbiome protein expression profiling assay	A protein expression profiling assay of microbial proteins extracted from a microbioal community of mixed species from a given microbiome.	["metaproteomic assay"]
OBI:0002766	cytokine assay	An analyte assay to study presence, concentration, or amount of cytokines.	[]
OBI:0002767	amplicon sequencing assay	A sequencing assay in which a DNA or RNA input molecule is amplified by PCR and the product sequenced.	[]
OBI:0002768	whole virome sequencing assay	A whole metagenome sequencing assay that intends to provide information on multiple genome sequences from different viruses present in the same input sample.	[]
OBI:0002946	fluorescence imaging-based apoptosis assay	A type of cytometry assay in which fluorescent dyes are used to label and detect proteins or structures associated with molecular processes of apoptosis.	[]
OBI:0002947	fluorescence imaging based cell proliferation assay	A type of cell proliferation assay in which fluorescent dyes are ued to label and detect proteins or structures that can be used to count cells.	["fluroescence imaging-based cell count assay"]
OBI:0002948	fluroescence imaging based cell cycle state assay	A type of cytometry assay in which fluorescent dyes are used to label and detect proteins or structures associated with particular cell cycle states.	[]
OBI:0002949	fluorescence imaging based cell viability assay	A type of cytometry assay in which fluorescent dyes are used to label and detect proteins or structures associated with cell viability.	[]
OBI:0002950	fluorescence imaging based drug synergy assay	A type of cytometry assay in which fluorescent dyes are used to label and detect proteins or structures to determine if drugs applied to cells in combination have a greater effect together than the sum of their separate effects.	[]
OBI:0002951	fluorescence imaging based cell morphology assay	A type of cytometry assay in which fluorescent dyes are used to label and detect proteins or structures in order to determine cell morphology.	[]
OBI:0002952	fluorescence imaging multiplex cytological profiling	A type of cytometry assay in which fluorescent dyes are used to stain seven major cellular components followed by automatic image capture and analysis which extracts shape, texture, and intensity parameters.	[]
OBI:0002953	phosphorylated protein assay	A type of assay that measures the quantity and/or identity of proteins in their modficied and unmodified states where modifications include phosphorylation, methylation, acetylation, etc.	[]
OBI:0002954	fluorescence imaging based protein phosphorylation state assay	A type of protein state assay that employs high-throughput microscopy to measure levels of proteins in different phosphorylation states.	[]
OBI:0002955	mass spectrometry protein state assay	A type of protein state assay that employs mass spectrometry to measure levels of proteins in different phosphorylation states.	[]
OBI:0002956	P100 phosphoprotein quantification assay	A type of mass spectrometry protein state assay that measures levels of a targeted set of proteins in different phosphorylation states in response to drug perturbations.	["P100 phosphoprotein quantification assay"]
OBI:0002957	reverse phase protein array profiling assay	A type of protein state assay where tissue or cell samples are lysed and then spotted onto a slide which is probed with antibodies specific to proteins with and without post-translational modifications.	["RPPA assay", "reverse phase lysate array profiling assay", "RPLA assay"]
OBI:0002958	SWATH-MS protein profiling assay	A type of mass spectrometry assay using a data-independent acquisition method to identify target peptides.	["sequential window acquisition of all theoretical mass spectra protein profiling assay"]
OBI:0002959	tandem mass tag mass spectrometry	A type of tandem mass spectrometry where isotopomer labels are employed for accurate quantification and identification of specific proteins.	[]
OBI:0002960	fluorescence imaging based reporter gene assay	A type of reporter gene assay that employs fluorescence imaging to detect a reporter gene's expression.	[]
OBI:0002961	global chromatin epigenetic profiling assay	A type of epigenetic modification assay that employs targeted quantitative mass spectrometry to profile modifications of the core histones of chromatin.	["GCP", "global chromatin profiling", "global chromatin epigenetic profiling"]
OBI:0002962	kinase inhibitor assay	A type of assay that identifies compounds that inhibit the activity of kinases.	[]
OBI:0002963	KINOMEscan assay	A type of proprietary kinase inhibitor assay that and employs a panel of kinases against which one can test compounds for their selectivity and potency in interactions with kinases, without the need to add ATP to the reactions.	[]
OBI:0002964	KiNativ assay	A type of proprietary in situ kinase inhibitor assay that employs biotinylated acyl phosphates of ATP and ADP.	[]
OBI:0002965	L1000 mRNA profiling assay	A type of transcription profiling assay in which a set of landmark transcripts that have been determined to provide a comprehensive profile of cell activity, plus numerous steady-state controls, are assayed via ligation-mediated amplification followed by capture on fluorescently labeled microspheres followed by detection of fluorescence.	["L1000 mRNA profiling assay"]
OBI:0002966	microenvironment microarray assay	A type of cytometry assay where cells are incubated for three days with a standardized set of extracellular matrix proteins in combination with various ligands creating varying microenvironment perterbations for the cells. Immunofluorescent imaging of cells is used to measure features such as morphology, metabolism, cell cycle, and nuclear activity.	["MEMA assay"]
OBI:0002967	microwestern meso-scale quantitative western blot assay	A western blot analysis that provides a high-throughput, sensitive, and quantitative measurement of proteins from numerous samples via an array of small western blots on a single sheet of nitrocellulose.	[]
OBI:0002968	positive/negative ion switching metabolite profiling assay	A type of metabolic profiling assay which employs a hybrid dual quadrupole linear ion trap mass spectrometer for steady-state profiling of endogenous polar metabolites from organic extractions from biological samples.	["positive/negative ion switching metabolomic assay"]
OBI:0002969	cyclic immunofluorescence	A type of microscopy assay resulting in highly multiplexed immunofluorescence imaging through sequential rounds of imaging followed by fluorophore inactivation.	[]
OBI:0002970	bead-based immunoassy for protein state	A type of protein state assay in which antibodies attached to different colored beads and fluorescent reporter dye labels are used in a multiplexed mixture to assay for proteins in specific states.	[]
OBI:0003087	autofluorescence assay	A fluorescence detection assay in which the light that is naturally emitted by a sample is visualized after excitation of the sample with light at a suitable wavelength.	["intrinsic fluorescence assay"]
OBI:0003088	autofluorescence microscopy assay	An autofluorescence assay in which the light that is naturally emitted by a sample is visualized via microscopy after excitation of the sample with light at a suitable wavelength.	[]
OBI:0003089	bulk assay for transposase-accessible chromatin using sequencing	An assay for transposase-accessible chromatin using sequencing in which the sample that is sequenced is derived from a collection of cells, such as a tissue sample or entire cell culture, and therefore provides results representative of the aggregate of sample cells.	["bulk ATAC-seq"]
OBI:0003090	bulk RNA-seq assay	A RNA-seq assay in which the sample that is sequenced is derived from a collection of cells, such as a tissue sample or entire cell culture, and therefore provides results representative of the aggregate of sample cells.	[]
OBI:0003091	multiplexed fluorescent antibody imaging assay	An imaging assay that involves multiple rounds of antibody staining and imaging.	[]
OBI:0003092	Cell DIVE multiplexed imaging assay	A multiplexed fluorescent antibody imaging assay that involves an iterative staining, imaging and dye inactivation workflow for over 60 biomarkers on a single fixed tissue section.	[]
OBI:0003093	co-detection by indexing assay	A multiplexed fluorescent antibody imaging assay that involves a highly multiplexed analysis of up to 40 proteins in a tissue using cyclic detection of DNA-indexed antibody panels.	["CODEX"]
OBI:0003094	fluorescence in-situ hybridization assay	An in-situ hybridization assay in which fluorescently labeled molecules are used to localize specific DNA or RNA sequences.	["FISH"]
