id	name	description	synonyms
data:0005	Resource type	A type of computational resource used in bioinformatics.	[]
data:0006	Data	Information, represented in an information artefact (data record) that is 'understandable' by dedicated computational tools that can use the data as input or produce it as output.	["Data record","Data set","Datum"]
data:0007	Tool	A bioinformatics package or tool, e.g. a standalone application or web service.	[]
data:0581	Database	A digital data archive typically based around a relational model but sometimes using an object-oriented, tree or graph-based model.	[]
data:0582	Ontology	An ontology of biological or bioinformatics concepts and relations, a controlled vocabulary, structured glossary etc.	[]
data:0583	Directory metadata	A directory on disk from which files are read.	[]
data:0831	MeSH vocabulary	Controlled vocabulary from National Library of Medicine. The MeSH thesaurus is used to index articles in biomedical journals for the Medline/PubMED databases.	[]
data:0832	HGNC vocabulary	Controlled vocabulary for gene names (symbols) from HUGO Gene Nomenclature Committee.	[]
data:0835	UMLS vocabulary	Compendium of controlled vocabularies for the biomedical domain (Unified Medical Language System).	[]
data:0842	Identifier	A text token, number or something else which identifies an entity, but which may not be persistent (stable) or unique (the same identifier may identify multiple things).	["ID","http://purl.org/dc/elements/1.1/identifier"]
data:0843	Database entry	An entry (retrievable via URL) from a biological database.	[]
data:0844	Molecular mass	Mass of a molecule.	[]
data:0845	Molecular charge	Net charge of a molecule.	[]
data:0846	Chemical formula	A specification of a chemical structure.	["Chemical structure specification"]
data:0847	QSAR descriptor	A QSAR quantitative descriptor (name-value pair) of chemical structure.	[]
data:0848	Raw sequence	A raw molecular sequence (string of characters) which might include ambiguity, unknown positions and non-sequence characters.	[]
data:0849	Sequence record	A molecular sequence and associated metadata.	[]
data:0850	Sequence set	A collection of one or typically multiple molecular sequences (which can include derived data or metadata) that do not (typically) correspond to molecular sequence database records or entries and which (typically) are derived from some analytical method.	["Alignment reference","SO:0001260"]
data:0851	Sequence mask character	A character used to replace (mask) other characters in a molecular sequence.	[]
data:0852	Sequence mask type	A label (text token) describing the type of sequence masking to perform.	[]
data:0853	DNA sense specification	The strand of a DNA sequence (forward or reverse).	[]
data:0854	Sequence length specification	A specification of sequence length(s).	[]
data:0855	Sequence metadata	Basic or general information concerning molecular sequences.	[]
data:0856	Sequence feature source	How the annotation of a sequence feature (for example in EMBL or Swiss-Prot) was derived.	[]
data:0857	Sequence search results	A report of sequence hits and associated data from searching a database of sequences (for example a BLAST search). This will typically include a list of scores (often with statistical evaluation) and a set of alignments for the hits.	["Sequence database search results","Sequence search hits","Database hits (sequence)","Sequence database hits"]
data:0858	Sequence signature matches	Report on the location of matches (""hits"") between sequences, sequence profiles, motifs (conserved or functional patterns) and other types of sequence signatures.	["Sequence profile alignment","Profile-profile alignment","Sequence motif matches","Sequence motif hits","Protein secondary database search results","Sequence-profile alignment","Sequence profile hits","Search results (protein secondary database)","Sequence profile matches"]
data:0859	Sequence signature model	Data files used by motif or profile methods.	[]
data:0860	Sequence signature data	Data concering concerning specific or conserved pattern in molecular sequences and the classifiers used for their identification, including sequence motifs, profiles or other diagnostic element.	[]
data:0861	Sequence alignment (words)	Alignment of exact matches between subsequences (words) within two or more molecular sequences.	["Sequence word alignment"]
data:0862	Dotplot	A dotplot of sequence similarities identified from word-matching or character comparison.	[]
data:0863	Sequence alignment	Alignment of multiple molecular sequences.	["Multiple sequence aligment","msa"]
data:0864	Sequence alignment parameter	Some simple value controlling a sequence alignment (or similar 'match') operation.	[]
data:0865	Sequence similarity score	A value representing molecular sequence similarity.	[]
data:0866	Sequence alignment metadata	Report of general information on a sequence alignment, typically include a description, sequence identifiers and alignment score.	[]
data:0867	Sequence alignment report	An informative report of molecular sequence alignment-derived data or metadata.	["Sequence alignment metadata"]
data:0868	Profile-profile alignment	A profile-profile alignment (each profile typically representing a sequence alignment).	[]
data:0869	Sequence-profile alignment	Alignment of one or more molecular sequence(s) to one or more sequence profile(s) (each profile typically representing a sequence alignment).	[]
data:0870	Sequence distance matrix	A matrix of estimated evolutionary distance between molecular sequences, such as is suitable for phylogenetic tree calculation.	["Phylogenetic distance matrix"]
data:0871	Phylogenetic character data	Basic character data from which a phylogenetic tree may be generated.	[]
data:0872	Phylogenetic tree	The raw data (not just an image) from which a phylogenetic tree is directly generated or plotted, such as topology, lengths (in time or in expected amounts of variance) and a confidence interval for each length.	["Phylogeny"]
data:0874	Comparison matrix	Matrix of integer or floating point numbers for amino acid or nucleotide sequence comparison.	["Substitution matrix"]
data:0875	Protein topology	Predicted or actual protein topology represented as a string of protein secondary structure elements.	[]
data:0876	Protein features report (secondary structure)	Secondary structure (predicted or real) of a protein.	[]
data:0877	Protein features report (super-secondary)	Super-secondary structure of protein sequence(s).	[]
data:0878	Protein secondary structure alignment	Alignment of the (1D representations of) secondary structure of two or more proteins.	["Secondary structure alignment (protein)"]
data:0879	Secondary structure alignment metadata (protein)	An informative report on protein secondary structure alignment-derived data or metadata.	[]
data:0880	RNA secondary structure	An informative report of secondary structure (predicted or real) of an RNA molecule.	["Secondary structure (RNA)"]
data:0881	RNA secondary structure alignment	Alignment of the (1D representations of) secondary structure of two or more RNA molecules.	["Secondary structure alignment (RNA)"]
data:0882	Secondary structure alignment metadata (RNA)	An informative report of RNA secondary structure alignment-derived data or metadata.	[]
