id	name	description	synonyms
DOID:0001816	angiosarcoma	A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.	["hemangiosarcoma"]
DOID:0002116	pterygium	A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.	["surfer's eye"]
DOID:0014667	disease of metabolism	A disease that involving errors in metabolic processes of building or degradation of molecules.	["metabolic disease"]
DOID:0040001	shrimp allergy	A crustacean allergy that has_allergic_trigger shrimp.	[]
DOID:0040002	aspirin allergy	A drug allergy that has_allergic_trigger acetylsalicylic acid.	["acetylsalicylic acid allergy","ASA allergy"]
DOID:0040003	benzylpenicillin allergy	A beta-lactam allergy that has_allergic_trigger benzylpenicillin.	["benzyl penicillin allergy","penicillin G allergy"]
DOID:0040004	amoxicillin allergy	A beta-lactam allergy that has_allergic_trigger amoxicillin.	[]
DOID:0040005	ceftriaxone allergy	A cephalosporin allergy that has_allergic_trigger ceftriaxone.	["rocephin allergy"]
DOID:0040006	carbamazepine allergy	A drug allergy that has_allergic_trigger carbamazepine.	["carbamazepen allergy","Tegretol allergy"]
DOID:0040007	abacavir allergy	A drug allergy that has_allergic_trigger abacavir.	["ABC allergy"]
DOID:0040008	isoniazide allergy	A drug allergy that has_allergic_trigger isoniazide.	["INH allergy","isonicotinylhydrazide allergy"]
DOID:0040009	lidocaine allergy	A drug allergy that has_allergic_trigger lidocaine.	["Lidoderm allergy","lignocaine allergy","xylocaine allergy"]
DOID:0040010	mepivacaine allergy	A drug allergy that has_allergic_trigger mepivacaine.	["Carbocaine allergy","Polocaine allergy"]
DOID:0040011	phenobarbital allergy	A drug allergy that has_allergic_trigger phenobarbital.	["Luminal allergy","phenobarbitol allergy","phenobarbitone allergy"]
DOID:0040012	phenytoin allergy	A drug allergy that has_allergic_trigger phenytoin.	["Dilantin allergy"]
DOID:0040013	ranitidine allergy	A drug allergy that has_allergic_trigger ranitidine.	["Zantac allergy"]
DOID:0040014	corticosteroid allergy	A drug allergy that has_allergic_trigger corticosteroid.	[]
DOID:0040015	sulfonamide allergy	A drug allergy that has_allergic_trigger sulfonamide.	[]
DOID:0040016	sulfamethoxazole allergy	A drug allergy that has_allergic_trigger sulfamethoxazole.	["SMX allergy","SMZ allergy","sulphamethoxazole allergy"]
DOID:0040017	suprofen allergy	A drug allergy that has_allergic_trigger suprofen.	["Profenal allergy"]
DOID:0040018	thiopental allergy	A drug allergy that has_allergic_trigger thiopental.	["penthiobarbital allergy","pentothiobarbital allergy"]
DOID:0040019	D-mannitol allergy	A drug allergy that has_allergic_trigger D-mannitol.	["mannitol allergy"]
DOID:0040020	cefotaxime allergy	A cephalosporin allergy that has_allergic_trigger cefotaxime.	[]
DOID:0040021	cephalosporin allergy	A drug allergy that has_allergic_trigger cephalosporin.	[]
DOID:0040022	amodiaquine allergy	A drug allergy that has_allergic_trigger amodiaquine.	["Camoquin allergy","Flavoquine allergy"]
DOID:0040023	cefaclor allergy	A cephalosporin allergy that has_allergic_trigger cefaclor.	["Ceclor allergy","cephaclor allergy"]
DOID:0040024	ceftazidime allergy	A cephalosporin allergy that has_allergic_trigger ceftazidime.	["Fortaz allergy","Tazicef allergy"]
DOID:0040025	cefuroxime allergy	A cephalosporin allergy that has_allergic_trigger cefuroxime.	["cephuroxime allergy","Zinacef allergy"]
DOID:0040026	chlorhexidine allergy	A drug allergy that has_allergic_trigger chlorhexidine.	[]
DOID:0040027	cyclophosphamide allergy	A drug allergy that has_allergic_trigger cyclophosphamide.	["cytophosphane allergy"]
DOID:0040028	succinylcholine allergy	A drug allergy that has_allergic_trigger succinylcholine.	["dicholine succinate allergy","succinocholine allergy","sux allergy","suxamethonium allergy"]
DOID:0040029	trimethoprim allergy	A drug allergy that has_allergic_trigger trimethoprim.	["Primsol allergy","proloprim allergy","TMP allergy"]
DOID:0040030	cefixime allergy	A cephalosporin allergy that has_allergic_trigger cefixime.	[]
DOID:0040031	diclofenac allergy	A drug allergy that has_allergic_trigger diclofenac.	["Voltaren allergy"]
DOID:0040032	carbapenem allergy	A drug allergy that has_allergic_trigger carbapenems.	[]
DOID:0040033	piperacillin allergy	A beta-lactam allergy that has_allergic_trigger piperacillin.	[]
DOID:0040034	rocuronium allergy	A drug allergy that has_allergic_trigger rocuronium.	["Esmeron allergy","Zemuron allergy"]
DOID:0040035	sulfasalazine allergy	A drug allergy that has_allergic_trigger sulfasalazine.	[]
DOID:0040036	tubocurarine allergy	A drug allergy that has_allergic_trigger tubocurarine.	["DTC allergy"]
DOID:0040037	aztreonam allergy	A beta-lactam allergy that has_allergic_trigger aztreonam.	["Azactam allergy","Primbactam allergy"]
DOID:0040038	meropenem allergy	An allergic asthma that has_allergic_trigger meropenem, a beta-lactam antibiotic.	["Merrem allergy"]
DOID:0040040	hexamethylene diisocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger hexamethylene diisocyanate.	["allergic asthma to HDI","allergic asthma to HMDI"]
DOID:0040041	isocyanates allergic asthma	An allergic asthma that has_allergic_trigger isocyanates.	[]
DOID:0040042	diphenylmethane-4,4'-diisocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger diphenylmethane-4,4-diisocyanate.	["allergic asthma to MDI"]
DOID:0040043	toluene meta-diisocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger toluene meta-diisocyanate.	["allergic asthma to TDI"]
DOID:0040044	methyl isocyanate allergic asthma	An isocyanates allergic asthma that has_allergic_trigger methyl isocyanate.	["allergic asthma to MIC"]
DOID:0040045	nickel allergic asthma	An allergic asthma that has_allergic_trigger nickel atom.	["allergic asthma to Ni"]
DOID:0040046	nickel allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger nickel atom.	["allergic contact dermatitis to Ni"]
DOID:0040047	trimellitic anhydride allergic asthma	An allergic asthma that has_allergic_trigger trimellitic anhydride.	["allergic asthma to TMA"]
DOID:0040048	phthalic anhydride allergic asthma	An allergic asthma that has_allergic_trigger phthalic anhydride.	[]
DOID:0040049	maleic anhydride allergic asthma	An allergic asthma that has_allergic_trigger maleic anhydride.	["allergic asthma to MA"]
DOID:0040050	tetrachlorophthalic anhydride allergic asthma	An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.	[]
DOID:0040051	hexahydrophthalic anhydride allergic asthma	An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.	["allergic asthma to HHPA"]
DOID:0040052	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.	["allergic contact dermatitis to MDI"]
DOID:0040053	cobalt allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger cobalt atom.	["allergic contact dermatitis to Co"]
DOID:0040054	cobalt allergic asthma	An allergic asthma that has_allergic_trigger cobalt atom.	["Co allergic asthma"]
DOID:0040055	palladium allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger palladium.	["allergic contact dermatitis to Pd"]
DOID:0040056	chromium allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger chromium atom.	[]
DOID:0040057	benzoic acid allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger benzoic acid.	["allergic contact dermatitis to benzoate"]
DOID:0040058	1,4-phenylenediamine allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.	["allergic contact dermatitis to p-phenylenediamine","allergic contact dermatitis to PPD"]
DOID:0040059	potassium dichromate allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger potassium dichromate.	[]
DOID:0040060	ketoprofen photoallergic dermatitis	A photoallergic dermatitis that has_allergic_trigger ketoprofen.	["photoallergic dermatitis to Orudis"]
DOID:0040061	remazole black respiratory allergy	A respiratory allergy that has_allergic_trigger remazole black-GR.	["respiratory allergy to Reactive Black 5"]
DOID:0040062	chloramine T respiratory allergy	A respiratory allergy that has_allergic_trigger chloramine T.	["respiratory allergy to Chloraseptin","respiratory allergy to Chlorazol","respiratory allergy to Trichlorol"]
DOID:0040063	4-vinylcyclohexene dioxide respiratory allergy	A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.	["respiratory allergy to vinyl cyclohexene diepoxide"]
DOID:0040064	carvone allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger (-)-carvone.	["allergic contact dermatitis to levo-carvone"]
DOID:0040065	quinidine allergy	A drug allergy that has_allergic_trigger quinidine.	["Kinidin allergy"]
DOID:0040066	melphalan allergy	A drug allergy that has_allergic_trigger melphalan.	["Alkeran allergy"]
DOID:0040067	neomycin sulfate allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.	["allergic contact dermatitis to neomycin sulphate"]
DOID:0040068	4-tert-butylphenol allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.	["allergic contact dermatitis to butylphen","allergic contact dermatitis to PTBP"]
DOID:0040069	1-chloro-2,4-dinitrobenzene allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.	["allergic contact dermatitis to dinitrochlorobenzene","allergic contact dermatitis to DNCB"]
DOID:0040070	co-trimoxazole allergy	A drug allergy that has_allergic_trigger co-trimoxazole.	["Bactrim allergy","cotrimoxazol allergy","TMP/SMX allergy","trimethoprim/sulfamethoxazole allergy"]
DOID:0040071	sodium aurothiomalate allergy	A drug allergy that has_allergic_trigger sodium aurothiomalate.	["gold sodium thiomalate allergy"]
DOID:0040072	parthenolide allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger parthenolide.	["allergic contact dermatitis to feverfew"]
DOID:0040073	disodium cromoglycate allergy	A drug allergy that has_allergic_trigger disodium cromoglycate.	["DSCG allergy"]
DOID:0040074	formaldehyde allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger formaldehyde.	["allergic contact dermatitis to formalin"]
DOID:0040075	benzo[d]isothiazol-3-one allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger benzoisothiazol-3-one.	["allergic contact dermatitis to benzisothiazolone","allergic contact dermatitis to BIT"]
DOID:0040076	phthalyl group allergy	A drug allergy that has_allergic_trigger phthalyl group.	["phthalyl allergy"]
DOID:0040077	alcuronium bromide allergy	A drug allergy that has_allergic_trigger alcuronium bromide.	[]
DOID:0040078	gallamine allergy	A drug allergy that has_allergic_trigger gallamine.	[]
DOID:0040079	2,4-dinitrophenyl allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.	["allergic contact dermatitis to DNP"]
DOID:0040080	patent blue V allergy	A drug allergy that has_allergic_trigger patent blue V.	[]
DOID:0040081	acid anhydride respiratory allergy	A respiratory allergy that has_allergic_trigger acid anhydride.	[]
DOID:0040082	oxirane allergy	A drug allergy that has_allergic_trigger oxirane.	["ethylene oxide allergy","ETO allergy"]
DOID:0040083	Chlamydia pneumonia	A bacterial pneumonia has_material_basis_in Chlamydia pneumoniae.	[]
DOID:0040084	Streptococcus pneumonia	A bacterial pneumonia has_material_basis_in Streptococcus pneumoniae.	[]
DOID:0040085	bacterial sepsis	A bacterial infectious disease has_material_basis_in Bacteria.	[]
DOID:0040086	Polyomavirus-associated nephropathy	A viral infectious disease has_material_basis_in BK polyomavirus.	["polyomavirus associated nephropathy","PVAN"]
DOID:0040087	autoimmune peripheral neuropathy	An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.	[]
DOID:0040088	autoimmune uveitis	An autoimmune disease of eyes, ear, nose and throat that is located_in the uvea.	[]
DOID:0040089	autoimmune optic neuritis	An autoimmune disease of peripheral nervous system that is located_in the neuron projection bundle connecting eye with brain.	[]
DOID:0040090	autoimmune gastritis	An autoimmune disease of gastrointestinal tract that is located_in the stomach.	[]
DOID:0040091	autoimmune pancreatitis	An autoimmune disease of endocrine system that is located_in the pancreas.	[]
DOID:0040092	juvenile ankylosing spondylitis	An autoimmune disease of musculoskeletal system that is an ankylosing spondylitis with onset during childhood.	[]
DOID:0040093	drug-induced lupus erythematosus	A lupus erythematosus caused by chronic use of certain drugs.	["DIL","DILE"]
DOID:0040094	autoimmune glomerulonephritis	An autoimmune disease of urogenital tract that is located_in the renal glomerulus.	[]
DOID:0040095	autoimmune cardiomyopathy	An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.	[]
DOID:0040096	autoimmune atherosclerosis	An autoimmune disease of cardiovascular system that is characterized by a build up of plaque in the arteries.	[]
DOID:0040097	autoimmune vasculitis	An autoimmune disease of cardiovascular system that is characterized by inflammation of the blood vessels.	[]
DOID:0040098	pemphigus gestationis	A pemphigus that is characterized by blistered skin as a result of self-reactive T and B cells that target BP180.	[]
DOID:0040099	livedoid vasculitis	A vasculitis with purpuric ulcers.	["livedoid vasculopathy"]
DOID:0040100	Hirata disease	An autoimmune disease of endocrine system characterized by hypoglycemia caused by antibodies to insulin.	["insulin autoimmune syndrome"]
DOID:0040101	N,N'-diphenylthiourea allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger N,N-diphenylthiourea.	["neoprene allergy"]
DOID:0040102	N,N'-diethylthiourea allergic contact dermatitis	An allergic contact dermatitis that has_allergic_trigger N,N-diethylthiourea.	["neoprene allergy"]
DOID:0040103	cefotiam allergy	A cephalosporin allergy that has_allergic_trigger cefotiam.	[]
DOID:0040104	toluene 2,4-diisocyanate allergic asthma	A toluene meta-diisocyanate allergic asthma that has_allergic_trigger toluene 2,4-diisocyanate.	[]
DOID:0050001	obsolete Actinomadura madurae infectious disease		[]
DOID:0050002	obsolete Actinomadura pelletieri infectious disease		[]
DOID:0050003	obsolete Streptomyces somaliensis infectious disease		[]
DOID:0050004	seminal vesicle acute gonorrhea	A gonococcal seminal vesiculitis that is characterized by back pain, perineal pain, pain with ejaculation, hematospermia and voiding symptoms resulting from inflammation located_in the seminal vesicles caused by Neisseria gonorrhoeae infection.	[]
DOID:0050007	obsolete cutaneous strongyloidiasis	A strongyloidiasis that involves parasitic infection by the filariform larvae of Strongyloides stercoralis, which penetrate the human skin causing urticarial rashes in the buttocks and waist areas.	[]
DOID:0050009	obsolete intestinal strongyloidiasis	A strongyloidiasis that involves infection of intestine with Strongyloides stercoralis, which results in abdominal pain, diarrhea, ileus, massive gastrointestinal bleeding, severe malabsorption, and peritonitis.	[]
DOID:0050010	obsolete Mansonella perstans infectious disease	A mansonelliasis that involves parasitic infection by the nematode Mansonella perstans, which resides in body cavities and the surrounding tissues causing angioedema, pruritus, fever, headaches, arthralgias, and neurologic manifestations. Midges transmit the disease.	[]
DOID:0050011	obsolete Mansonella streptocerca infectious disease	A mansonelliasis that involves parasitic infection by the nematode Mansonella streptocerca, which resides in the dermis and subcutaneous tissue causing pruritus, papular eruptions and pigmentation changes. Midges transmit the disease.	[]
DOID:0050012	chikungunya	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.	["Chikungunya fever"]
DOID:0050013	carbohydrate metabolism disease	An acquired metabolic disease that is characterized by abnormal carbohydrate metabolism.	[]
DOID:0050014	obsolete epizootic hemorrhagic disease	A viral infectious disease that results_in infection in deer, has_material_basis_in Epizootic hemorrhagic disease virus, which is transmitted_by Culicoides biting midges. The infection has_symptom hemorrhages in many tissues including the skin, heart, and gastrointestinal tract, and has_symptom ulcers of the tongue, dental pad, palate, rumen, and omasum.	[]
DOID:0050015	obsolete Rocio virus encephalitis	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in Rocio virus, which is transmitted_by Psorophora ferox and transmitted_by Aedes species of mosquitoes. The infection has_symptom abdominal distension, has_symptom confusion, has_symptom motor impairment, has_symptom difficulty in walking and maintaining balance, has_symptom meningeal irritation, and has_symptom cerebellar syndrome.	[]
DOID:0050024	obsolete Ehrlichia ewingii ehrlichiosis		[]
DOID:0050025	human granulocytic anaplasmosis	An ehrlichiosis that results in infection located in granular leukocyte, has_material_basis_in Anaplasma phagocytophilum, which is transmitted by lone star tick (Amblyomma americanum). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.	["human granulocytic ehrlichiosis"]
DOID:0050026	human monocytic ehrlichiosis	An ehrlichiosis that results in infection located in monocyte or located in macrophage, has_material_basis_in Ehrlichia chaffeensis, which is transmitted by black-legged tick (Ixodes scapularis), transmitted by western black-legged tick (Ixodes pacificus) or transmitted by castor bean tick (Ixodes ricinus). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.	[]
DOID:0050032	mineral metabolism disease	An acquired metabolic disease that is characterized by abnormal mineral metabolism.	[]
