id	name	description	synonyms
format:1196	SMILES	Chemical structure specified in Simplified Molecular Input Line Entry System (SMILES) line notation.	[]
format:1197	InChI	Chemical structure specified in IUPAC International Chemical Identifier (InChI) line notation.	[]
format:1198	mf	Chemical structure specified by Molecular Formula (MF), including a count of each element in a compound.	[]
format:1199	InChIKey	The InChIKey (hashed InChI) is a fixed length (25 character) condensed digital representation of an InChI chemical structure specification. It uniquely identifies a chemical compound.	[]
format:1200	smarts	SMILES ARbitrary Target Specification (SMARTS) format for chemical structure specification, which is a subset of the SMILES line notation.	[]
format:1206	unambiguous pure	Alphabet for a molecular sequence with possible unknown positions but without ambiguity or non-sequence characters.	[]
format:1207	nucleotide	Alphabet for a nucleotide sequence with possible ambiguity, unknown positions and non-sequence characters.	[]
format:1208	protein	Alphabet for a protein sequence with possible ambiguity, unknown positions and non-sequence characters.	[]
format:1209	consensus	Alphabet for the consensus of two or more molecular sequences.	[]
format:1210	pure nucleotide	Alphabet for a nucleotide sequence with possible ambiguity and unknown positions but without non-sequence characters.	[]
format:1211	unambiguous pure nucleotide	Alphabet for a nucleotide sequence (characters ACGTU only) with possible unknown positions but without ambiguity or non-sequence characters .	[]
format:1212	dna	Alphabet for a DNA sequence with possible ambiguity, unknown positions and non-sequence characters.	[]
format:1213	rna	Alphabet for an RNA sequence with possible ambiguity, unknown positions and non-sequence characters.	[]
format:1214	unambiguous pure dna	Alphabet for a DNA sequence (characters ACGT only) with possible unknown positions but without ambiguity or non-sequence characters.	[]
format:1215	pure dna	Alphabet for a DNA sequence with possible ambiguity and unknown positions but without non-sequence characters.	[]
format:1216	unambiguous pure rna sequence	Alphabet for an RNA sequence (characters ACGU only) with possible unknown positions but without ambiguity or non-sequence characters.	[]
format:1217	pure rna	Alphabet for an RNA sequence with possible ambiguity and unknown positions but without non-sequence characters.	[]
format:1218	unambiguous pure protein	Alphabet for any protein sequence with possible unknown positions but without ambiguity or non-sequence characters.	[]
format:1219	pure protein	Alphabet for any protein sequence with possible ambiguity and unknown positions but without non-sequence characters.	[]
format:1228	UniGene entry format	Format of an entry from UniGene.	[]
format:1247	COG sequence cluster format	Format of an entry from the COG database of clusters of (related) protein sequences.	[]
format:1248	EMBL feature location	Format for sequence positions (feature location) as used in DDBJ/EMBL/GenBank database.	["Feature location"]
format:1295	quicktandem	Report format for tandem repeats in a nucleotide sequence (format generated by the Sanger Centre quicktandem program).	[]
format:1296	Sanger inverted repeats	Report format for inverted repeats in a nucleotide sequence (format generated by the Sanger Centre inverted program).	[]
format:1297	EMBOSS repeat	Report format for tandem repeats in a sequence (an EMBOSS report format).	[]
format:1316	est2genome format	Format of a report on exon-intron structure generated by EMBOSS est2genome.	[]
format:1318	restrict format	Report format for restriction enzyme recognition sites used by EMBOSS restrict program.	[]
format:1319	restover format	Report format for restriction enzyme recognition sites used by EMBOSS restover program.	[]
format:1320	REBASE restriction sites	Report format for restriction enzyme recognition sites used by REBASE database.	[]
format:1332	FASTA search results format	Format of results of a sequence database search using FASTA.	[]
format:1333	BLAST results	Format of results of a sequence database search using some variant of BLAST.	[]
format:1334	mspcrunch	Format of results of a sequence database search using some variant of MSPCrunch.	[]
format:1335	Smith-Waterman format	Format of results of a sequence database search using some variant of Smith Waterman.	[]
format:1336	dhf	Format of EMBASSY domain hits file (DHF) of hits (sequences) with domain classification information.	[]
format:1337	lhf	Format of EMBASSY ligand hits file (LHF) of database hits (sequences) with ligand classification information.	[]
format:1341	InterPro hits format	Results format for searches of the InterPro database.	[]
format:1342	InterPro protein view report format	Format of results of a search of the InterPro database showing matches of query protein sequence(s) to InterPro entries.	[]
format:1343	InterPro match table format	Format of results of a search of the InterPro database showing matches between protein sequence(s) and signatures for an InterPro entry.	[]
format:1349	HMMER Dirichlet prior	Dirichlet distribution HMMER format.	[]
format:1350	MEME Dirichlet prior	Dirichlet distribution MEME format.	[]
format:1351	HMMER emission and transition	Format of a report from the HMMER package on the emission and transition counts of a hidden Markov model.	[]
format:1356	prosite-pattern	Format of a regular expression pattern from the Prosite database.	[]
format:1357	EMBOSS sequence pattern	Format of an EMBOSS sequence pattern.	[]
format:1360	meme-motif	A motif in the format generated by the MEME program.	[]
format:1366	prosite-profile	Sequence profile (sequence classifier) format used in the PROSITE database.	[]
format:1367	JASPAR format	A profile (sequence classifier) in the format used in the JASPAR database.	[]
format:1369	MEME background Markov model	Format of the model of random sequences used by MEME.	[]
format:1370	HMMER format	Format of a hidden Markov model representation used by the HMMER package.	[]
format:1391	HMMER-aln	FASTA-style format for multiple sequences aligned by HMMER package to an HMM.	[]
format:1392	DIALIGN format	Format of multiple sequences aligned by DIALIGN package.	[]
format:1393	daf	EMBASSY 'domain alignment file' (DAF) format, containing a sequence alignment of protein domains belonging to the same SCOP or CATH family.	[]
format:1419	Sequence-MEME profile alignment	Format for alignment of molecular sequences to MEME profiles (position-dependent scoring matrices) as generated by the MAST tool from the MEME package.	[]
format:1421	HMMER profile alignment (sequences versus HMMs)	Format used by the HMMER package for an alignment of a sequence against a hidden Markov model database.	[]
format:1422	HMMER profile alignment (HMM versus sequences)	Format used by the HMMER package for of an alignment of a hidden Markov model against a sequence database.	[]
format:1423	Phylip distance matrix	Format of PHYLIP phylogenetic distance matrix data.	[]
format:1424	ClustalW dendrogram	Dendrogram (tree file) format generated by ClustalW.	[]
format:1425	Phylip tree raw	Raw data file format used by Phylip from which a phylogenetic tree is directly generated or plotted.	[]
format:1430	Phylip continuous quantitative characters	PHYLIP file format for continuous quantitative character data.	[]
format:1431	Phylogenetic property values format	Format of phylogenetic property data.	[]
format:1432	Phylip character frequencies format	PHYLIP file format for phylogenetics character frequency data.	[]
format:1433	Phylip discrete states format	Format of PHYLIP discrete states data.	[]
format:1434	Phylip cliques format	Format of PHYLIP cliques data.	[]
format:1435	Phylip tree format	Phylogenetic tree data format used by the PHYLIP program.	[]
format:1436	TreeBASE format	The format of an entry from the TreeBASE database of phylogenetic data.	[]
format:1437	TreeFam format	The format of an entry from the TreeFam database of phylogenetic data.	[]
format:1445	Phylip tree distance format	Format for distances, such as Branch Score distance, between two or more phylogenetic trees as used by the Phylip package.	[]
format:1454	dssp	Format of an entry from the DSSP database (Dictionary of Secondary Structure in Proteins).	[]
format:1455	hssp	Entry format of the HSSP database (Homology-derived Secondary Structure in Proteins).	[]
format:1457	Dot-bracket format	Format of RNA secondary structure in dot-bracket notation, originally generated by the Vienna RNA package/server.	["Vienna RNA secondary structure format","Vienna RNA format"]
format:1458	Vienna local RNA secondary structure format	Format of local RNA secondary structure components with free energy values, generated by the Vienna RNA package/server.	[]
format:1475	PDB database entry format	Format of an entry (or part of an entry) from the PDB database.	["PDB entry format"]
format:1476	PDB	Entry format of PDB database in PDB format.	["PDB format"]
format:1477	mmCIF	Entry format of PDB database in mmCIF format.	[]
format:1478	PDBML	Entry format of PDB database in PDBML (XML) format.	[]
format:1500	Domainatrix 3D-1D scoring matrix format	Format of a matrix of 3D-1D scores used by the EMBOSS Domainatrix applications.	[]
format:1504	aaindex	Amino acid index format used by the AAindex database.	[]
format:1511	IntEnz enzyme report format	Format of an entry from IntEnz (The Integrated Relational Enzyme Database).	[]
format:1512	BRENDA enzyme report format	Format of an entry from the BRENDA enzyme database.	[]
