original_term_id	slim_term_id
format:3913	format:2333
format:3622	format:2333
format:4004	format:2333
format:3284	format:2333
format:3010	format:2333
format:3462	format:2333
format:3973	format:2333
format:3997	format:2333
format:3849	format:2333
format:3620	format:2333
format:3995	format:2333
format:4001	format:2333
format:3986	format:2333
format:3874	format:2333
format:3548	format:2333
format:3484	format:2333
format:3593	format:2333
format:3665	format:2333
format:3710	format:2333
format:3592	format:2333
format:3988	format:2333
format:3915	format:2333
format:3009	format:2333
format:3004	format:2333
format:3885	format:2333
format:3727	format:2333
format:3987	format:2333
format:4003	format:2333
format:3650	format:2333
format:3599	format:2333
format:3601	format:2333
format:3712	format:2333
format:1628	format:2333
format:3989	format:2333
format:3700	format:2333
format:3990	format:2333
format:3876	format:2333
format:3491	format:2333
format:3018	format:2333
format:3596	format:2333
format:3595	format:2333
format:3911	format:2333
format:3000	format:2333
format:3993	format:2333
format:2572	format:2333
format:3327	format:2333
format:3826	format:2333
format:3017	format:2333
format:3981	format:2333
format:3776	format:2333
format:3602	format:2333
format:3006	format:2333
format:3578	format:2333
format:3590	format:2333
format:4002	format:2333
format:3624	format:2333
format:3597	format:2333
format:3020	format:2333
format:3875	format:2333
format:3579	format:2333
format:3603	format:2333
format:3839	format:2333
format:3598	format:2333
format:3991	format:2333
format:3600	format:2333
format:3549	format:2333
format:3699	format:2333
format:3467	format:2333
format:3994	format:2333
format:3605	format:2333
format:3858	format:2333
format:3830	format:2333
format:3698	format:2333
format:3977	format:2333
format:4006	format:2333
format:3686	format:2333
format:2333	format:2333
format:3508	format:2333
format:3621	format:2333
format:3616	format:2333
format:3615	format:2333
format:3873	format:2333
format:1632	format:2333
format:3591	format:2333
format:3594	format:2333
format:3556	format:2331
format:2532	format:2331
format:2331	format:2331
format:2311	format:2331
format:2310	format:2331
format:1740	format:2331
format:3970	format:3464
format:3969	format:3464
format:3784	format:3464
format:3781	format:3464
format:3774	format:3464
format:3772	format:3464
format:3749	format:3464
format:3464	format:3464
format:3252	format:2376
format:3784	format:2376
format:3261	format:2376
format:3255	format:2376
format:3749	format:2376
format:2197	format:2376
format:3257	format:2376
format:2376	format:2376
