FileID	DataEventID
FILE_ID.00000006	DATA_EVENT.00000009
FILE_ID.00000010	DATA_EVENT.00000013
FILE_ID.00000014	DATA_EVENT.00000017
FILE_ID.00000018	DATA_EVENT.00000021
FILE_ID.00000022	DATA_EVENT.00000025
FILE_ID.00000026	DATA_EVENT.00000029
FILE_ID.00000030	DATA_EVENT.00000033
FILE_ID.00000034	DATA_EVENT.00000037
FILE_ID.00000038	DATA_EVENT.00000041
FILE_ID.00000042	DATA_EVENT.00000045
FILE_ID.00000046	DATA_EVENT.00000049
FILE_ID.00000050	DATA_EVENT.00000053
FILE_ID.00000054	DATA_EVENT.00000057
FILE_ID.00000058	DATA_EVENT.00000061
FILE_ID.00000062	DATA_EVENT.00000065
FILE_ID.00000066	DATA_EVENT.00000069
FILE_ID.00000070	DATA_EVENT.00000073
FILE_ID.00000074	DATA_EVENT.00000077
FILE_ID.00000078	DATA_EVENT.00000081
FILE_ID.00000082	DATA_EVENT.00000085
FILE_ID.00000086	DATA_EVENT.00000089
FILE_ID.00000090	DATA_EVENT.00000093
FILE_ID.00000094	DATA_EVENT.00000097
FILE_ID.00000098	DATA_EVENT.00000101
FILE_ID.00000102	DATA_EVENT.00000105
FILE_ID.00000106	DATA_EVENT.00000109
FILE_ID.00000110	DATA_EVENT.00000113
FILE_ID.00000114	DATA_EVENT.00000117
FILE_ID.00000118	DATA_EVENT.00000121
FILE_ID.00000122	DATA_EVENT.00000125
FILE_ID.00000126	DATA_EVENT.00000129
FILE_ID.00000130	DATA_EVENT.00000133
FILE_ID.00000134	DATA_EVENT.00000137
FILE_ID.00000138	DATA_EVENT.00000141
FILE_ID.00000142	DATA_EVENT.00000145
FILE_ID.00000146	DATA_EVENT.00000149
FILE_ID.00000150	DATA_EVENT.00000153
FILE_ID.00000154	DATA_EVENT.00000157
FILE_ID.00000158	DATA_EVENT.00000161
FILE_ID.00000162	DATA_EVENT.00000165
FILE_ID.00000166	DATA_EVENT.00000169
FILE_ID.00000170	DATA_EVENT.00000173
FILE_ID.00000174	DATA_EVENT.00000177
FILE_ID.00000178	DATA_EVENT.00000181
FILE_ID.00000182	DATA_EVENT.00000185
FILE_ID.00000186	DATA_EVENT.00000189
