BioSampleID	DataEventID
GTEX-1117F-0003-SM-6WBT7	DATA_EVENT.00051072
GTEX-1117F-0226-SM-5GZZ7	DATA_EVENT.00000008
GTEX-1117F-0426-SM-5EGHI	DATA_EVENT.00000012
GTEX-1117F-0526-SM-5EGHJ	DATA_EVENT.00000016
GTEX-1117F-0626-SM-5N9CS	DATA_EVENT.00000020
GTEX-1117F-0726-SM-5GIEN	DATA_EVENT.00000024
GTEX-1117F-1326-SM-5EGHH	DATA_EVENT.00000028
GTEX-1117F-2226-SM-5N9CH	DATA_EVENT.00000032
GTEX-1117F-2426-SM-5EGGH	DATA_EVENT.00000036
GTEX-1117F-2526-SM-5GZY6	DATA_EVENT.00000040
GTEX-1117F-2826-SM-5GZXL	DATA_EVENT.00000044
GTEX-1117F-2926-SM-5GZYI	DATA_EVENT.00000048
GTEX-1117F-3026-SM-5GZYU	DATA_EVENT.00000052
GTEX-1117F-3226-SM-5N9CT	DATA_EVENT.00000056
GTEX-111CU-0003-SM-6WBUD	DATA_EVENT.00051076
GTEX-111CU-0126-SM-5GZWZ	DATA_EVENT.00000060
GTEX-111CU-0226-SM-5GZXC	DATA_EVENT.00000064
GTEX-111CU-0326-SM-5GZXO	DATA_EVENT.00000068
GTEX-111CU-0426-SM-5GZY1	DATA_EVENT.00000072
GTEX-111CU-0526-SM-5EGHK	DATA_EVENT.00000076
GTEX-111CU-0626-SM-5EGHL	DATA_EVENT.00000080
GTEX-111CU-0726-SM-5GZYD	DATA_EVENT.00000084
GTEX-111CU-0826-SM-5EGIJ	DATA_EVENT.00000088
GTEX-111CU-0926-SM-5EGIK	DATA_EVENT.00000092
GTEX-111CU-1026-SM-5EGIL	DATA_EVENT.00000096
GTEX-111CU-1126-SM-5EGIM	DATA_EVENT.00000100
GTEX-111CU-1226-SM-5EGIN	DATA_EVENT.00000104
GTEX-111CU-1326-SM-5NQ8L	DATA_EVENT.00000108
GTEX-111CU-1426-SM-5GZYP	DATA_EVENT.00000112
GTEX-111CU-1526-SM-5N9FS	DATA_EVENT.00000116
GTEX-111CU-1726-SM-5EGHM	DATA_EVENT.00000120
GTEX-111CU-1826-SM-5GZYN	DATA_EVENT.00000124
GTEX-111CU-1926-SM-5GZYZ	DATA_EVENT.00000128
GTEX-111CU-2026-SM-5GZZC	DATA_EVENT.00000132
GTEX-111CU-2226-SM-5N9G5	DATA_EVENT.00000136
GTEX-111FC-0001-SM-6WBTJ	DATA_EVENT.00051080
GTEX-111FC-0126-SM-5N9DL	DATA_EVENT.00000140
GTEX-111FC-0226-SM-5N9B8	DATA_EVENT.00000144
GTEX-111FC-0326-SM-5GZZ1	DATA_EVENT.00000148
GTEX-111FC-0426-SM-5N9CV	DATA_EVENT.00000152
GTEX-111FC-0526-SM-5GZZ8	DATA_EVENT.00000156
GTEX-111FC-0626-SM-5N9CU	DATA_EVENT.00000160
GTEX-111FC-0826-SM-5GZWO	DATA_EVENT.00000164
GTEX-111FC-1026-SM-5GZX1	DATA_EVENT.00000168
GTEX-111FC-1126-SM-5GZWU	DATA_EVENT.00000172
GTEX-111FC-1326-SM-5N9D9	DATA_EVENT.00000176
GTEX-111FC-1426-SM-5N9C7	DATA_EVENT.00000180
GTEX-111FC-1926-SM-5GZYC	DATA_EVENT.00000184
GTEX-111FC-2026-SM-5GZYO	DATA_EVENT.00000188
GTEX-111FC-2526-SM-5GZXU	DATA_EVENT.00000192
GTEX-111FC-2926-SM-5GZY7	DATA_EVENT.00000196
GTEX-111FC-3026-SM-5GZYJ	DATA_EVENT.00000200
GTEX-111FC-3126-SM-5GZZ2	DATA_EVENT.00000204
GTEX-111FC-3326-SM-5GZYV	DATA_EVENT.00000208
GTEX-111VG-0004-SM-6WBTS	DATA_EVENT.00051084
GTEX-111VG-0008-SM-5Q5BG	DATA_EVENT.00000212
GTEX-111VG-0326-SM-5GZX7	DATA_EVENT.00000216
GTEX-111VG-0526-SM-5N9BW	DATA_EVENT.00000220
GTEX-111VG-0726-SM-5GIDC	DATA_EVENT.00000224
GTEX-111VG-1626-SM-5EGIO	DATA_EVENT.00000228
GTEX-111VG-1926-SM-5GIDO	DATA_EVENT.00000232
GTEX-111VG-2226-SM-5N9DU	DATA_EVENT.00000236
GTEX-111VG-2326-SM-5N9BK	DATA_EVENT.00000240
GTEX-111VG-2426-SM-5GZXD	DATA_EVENT.00000244
GTEX-111VG-2526-SM-5GZXP	DATA_EVENT.00000248
GTEX-111VG-2626-SM-5GZY2	DATA_EVENT.00000252
GTEX-111YS-0004-SM-6WBTN	DATA_EVENT.00051088
GTEX-111YS-0006-SM-5NQBE	DATA_EVENT.00000256
GTEX-111YS-0008-SM-5Q5BH	DATA_EVENT.00000260
GTEX-111YS-0126-SM-5987T	DATA_EVENT.00000264
GTEX-111YS-0326-SM-5GZZ3	DATA_EVENT.00000268
GTEX-111YS-0426-SM-5987O	DATA_EVENT.00000272
GTEX-111YS-0526-SM-5GZXJ	DATA_EVENT.00000276
GTEX-111YS-0626-SM-5GZXV	DATA_EVENT.00000280
GTEX-111YS-0726-SM-5GZY8	DATA_EVENT.00000284
GTEX-111YS-0826-SM-5GZYK	DATA_EVENT.00000288
GTEX-111YS-0926-SM-5EGGI	DATA_EVENT.00000292
GTEX-111YS-1026-SM-5GZYE	DATA_EVENT.00000296
GTEX-111YS-1126-SM-5GZYQ	DATA_EVENT.00000300
GTEX-111YS-1226-SM-5EGGJ	DATA_EVENT.00000304
GTEX-111YS-1326-SM-5EGGK	DATA_EVENT.00000308
GTEX-111YS-1426-SM-5GID8	DATA_EVENT.00000312
GTEX-111YS-1526-SM-5GZYW	DATA_EVENT.00000316
GTEX-111YS-1626-SM-5GZZ9	DATA_EVENT.00000320
GTEX-111YS-1726-SM-5GIED	DATA_EVENT.00000324
GTEX-111YS-1826-SM-5GIEP	DATA_EVENT.00000328
GTEX-111YS-1926-SM-5GICC	DATA_EVENT.00000332
GTEX-111YS-2026-SM-5EGGL	DATA_EVENT.00000336
GTEX-111YS-2126-SM-5EGGM	DATA_EVENT.00000340
GTEX-111YS-2226-SM-5987P	DATA_EVENT.00000344
GTEX-111YS-2326-SM-5987L	DATA_EVENT.00000348
GTEX-111YS-2426-SM-5GZZQ	DATA_EVENT.00000352
GTEX-1122O-0003-SM-5Q5DL	DATA_EVENT.00000356
GTEX-1122O-0004-SM-6WBTE	DATA_EVENT.00051092
GTEX-1122O-0005-SM-5O99J	DATA_EVENT.00000360
GTEX-1122O-0008-SM-5QGR2	DATA_EVENT.00000364
GTEX-1122O-0126-SM-5GICA	DATA_EVENT.00000368
GTEX-1122O-0226-SM-5N9DA	DATA_EVENT.00000372
GTEX-1122O-0326-SM-5H124	DATA_EVENT.00000376
GTEX-1122O-0426-SM-5H12G	DATA_EVENT.00000380
GTEX-1122O-0526-SM-5N9DM	DATA_EVENT.00000384
GTEX-1122O-0626-SM-5N9B9	DATA_EVENT.00000388
GTEX-1122O-0726-SM-5GIEV	DATA_EVENT.00000392
GTEX-1122O-0826-SM-5GICV	DATA_EVENT.00000396
GTEX-1122O-0926-SM-5N9C9	DATA_EVENT.00000400
GTEX-1122O-1126-SM-5NQ8X	DATA_EVENT.00000404
GTEX-1122O-1226-SM-5H113	DATA_EVENT.00000408
GTEX-1122O-1326-SM-5H11F	DATA_EVENT.00000412
GTEX-1122O-1426-SM-5H11R	DATA_EVENT.00000416
GTEX-1122O-1526-SM-5N9CL	DATA_EVENT.00000420
GTEX-1122O-1626-SM-5N9CX	DATA_EVENT.00000424
GTEX-1122O-1726-SM-5GICM	DATA_EVENT.00000428
GTEX-1122O-1826-SM-5EGIP	DATA_EVENT.00000432
GTEX-1122O-1926-SM-5EGIQ	DATA_EVENT.00000436
GTEX-1122O-2026-SM-5NQ91	DATA_EVENT.00000440
GTEX-1122O-2126-SM-5EGIR	DATA_EVENT.00000444
GTEX-1122O-2426-SM-5GIDN	DATA_EVENT.00000448
GTEX-1128S-0001-SM-6WBUH	DATA_EVENT.00051096
GTEX-1128S-0005-SM-5P9HI	DATA_EVENT.00000452
GTEX-1128S-0008-SM-5Q5DP	DATA_EVENT.00000456
GTEX-1128S-0126-SM-5H12S	DATA_EVENT.00000460
GTEX-1128S-0326-SM-5GZZF	DATA_EVENT.00000464
GTEX-1128S-0726-SM-5N9D6	DATA_EVENT.00000468
GTEX-1128S-0826-SM-5GZZI	DATA_EVENT.00000472
GTEX-1128S-0926-SM-5GZZU	DATA_EVENT.00000476
GTEX-1128S-1626-SM-5H12O	DATA_EVENT.00000480
GTEX-1128S-2126-SM-5H12U	DATA_EVENT.00000484
GTEX-1128S-2326-SM-5GZZY	DATA_EVENT.00000488
GTEX-1128S-2426-SM-5H11B	DATA_EVENT.00000492
GTEX-1128S-2526-SM-5H11N	DATA_EVENT.00000496
GTEX-1128S-2626-SM-5H11Z	DATA_EVENT.00000500
GTEX-1128S-2726-SM-5H12C	DATA_EVENT.00000504
GTEX-1128S-2826-SM-5N9DI	DATA_EVENT.00000508
GTEX-113IC-0006-SM-5NQ9C	DATA_EVENT.00000512
GTEX-113IC-0008-SM-5QGRF	DATA_EVENT.00000516
GTEX-113IC-0126-SM-5HL6T	DATA_EVENT.00000520
GTEX-113IC-0226-SM-5HL5C	DATA_EVENT.00000524
GTEX-113IC-0426-SM-5HL5O	DATA_EVENT.00000528
GTEX-113IC-0526-SM-5HL76	DATA_EVENT.00000532
GTEX-113JC-0001-SM-6WBTD	DATA_EVENT.00051100
GTEX-113JC-0006-SM-5O997	DATA_EVENT.00000536
GTEX-113JC-0008-SM-5QGR6	DATA_EVENT.00000540
GTEX-113JC-0126-SM-5EGJW	DATA_EVENT.00000544
GTEX-113JC-0726-SM-5GZZR	DATA_EVENT.00000548
GTEX-113JC-0926-SM-5H114	DATA_EVENT.00000552
GTEX-113JC-1026-SM-5H117	DATA_EVENT.00000556
GTEX-113JC-1926-SM-5N9GE	DATA_EVENT.00000560
GTEX-113JC-2226-SM-5EGJG	DATA_EVENT.00000564
GTEX-113JC-2326-SM-5EQ4E	DATA_EVENT.00000568
GTEX-113JC-2726-SM-5EGIS	DATA_EVENT.00000572
GTEX-113JC-2826-SM-5EGIT	DATA_EVENT.00000576
GTEX-117XS-0001-SM-6WBTA	DATA_EVENT.00051104
GTEX-117XS-0005-SM-5PNU6	DATA_EVENT.00000580
GTEX-117XS-0008-SM-5Q5DQ	DATA_EVENT.00000584
GTEX-117XS-0426-SM-5GZZN	DATA_EVENT.00000588
GTEX-117XS-0526-SM-5987Q	DATA_EVENT.00000592
GTEX-117XS-0726-SM-5H131	DATA_EVENT.00000596
GTEX-117XS-1926-SM-5GICO	DATA_EVENT.00000600
GTEX-117XS-2026-SM-5GID1	DATA_EVENT.00000604
GTEX-117XS-2226-SM-5GIE1	DATA_EVENT.00000608
GTEX-117XS-2526-SM-5H11G	DATA_EVENT.00000612
GTEX-117XS-2726-SM-5N9BL	DATA_EVENT.00000616
GTEX-117XS-2926-SM-5N9BX	DATA_EVENT.00000620
GTEX-117XS-3026-SM-5N9CA	DATA_EVENT.00000624
GTEX-117XS-3126-SM-5GIDP	DATA_EVENT.00000628
GTEX-117YW-0003-SM-6WBSY	DATA_EVENT.00051108
GTEX-117YW-0005-SM-5NQ8Z	DATA_EVENT.00000632
GTEX-117YW-0008-SM-5QGRD	DATA_EVENT.00000636
GTEX-117YW-0126-SM-5EGGN	DATA_EVENT.00000640
GTEX-117YW-0226-SM-5N9CM	DATA_EVENT.00000644
GTEX-117YW-0326-SM-5N9CY	DATA_EVENT.00000648
GTEX-117YW-0426-SM-5GZZZ	DATA_EVENT.00000652
GTEX-117YW-0526-SM-5H11C	DATA_EVENT.00000656
GTEX-117YW-0826-SM-5H11O	DATA_EVENT.00000660
GTEX-117YW-1426-SM-5EGGO	DATA_EVENT.00000664
GTEX-117YW-1526-SM-5EGGP	DATA_EVENT.00000668
GTEX-117YW-1826-SM-5PNY5	DATA_EVENT.00000672
GTEX-117YW-1926-SM-5H121	DATA_EVENT.00000676
GTEX-117YW-2026-SM-5N9BH	DATA_EVENT.00000680
GTEX-117YW-2226-SM-5N9DB	DATA_EVENT.00000684
GTEX-117YW-2426-SM-5Q5AE	DATA_EVENT.00000688
GTEX-117YW-2626-SM-5GZZH	DATA_EVENT.00000692
GTEX-117YW-2726-SM-5GZZT	DATA_EVENT.00000696
GTEX-117YW-2826-SM-5H116	DATA_EVENT.00000700
GTEX-117YW-2926-SM-5GIEQ	DATA_EVENT.00000704
GTEX-117YX-0001-SM-7DRQ6	DATA_EVENT.00051112
GTEX-117YX-0126-SM-5EGH5	DATA_EVENT.00000708
GTEX-117YX-0226-SM-5EGH6	DATA_EVENT.00000712
GTEX-117YX-0326-SM-5GICL	DATA_EVENT.00000716
GTEX-117YX-0526-SM-5EGJH	DATA_EVENT.00000720
GTEX-117YX-0626-SM-5EGJI	DATA_EVENT.00000724
GTEX-117YX-0726-SM-5GIET	DATA_EVENT.00000728
GTEX-117YX-0826-SM-5H11J	DATA_EVENT.00000732
GTEX-117YX-1026-SM-5H11V	DATA_EVENT.00000736
GTEX-117YX-1126-SM-5H128	DATA_EVENT.00000740
GTEX-117YX-1226-SM-5H11S	DATA_EVENT.00000744
GTEX-117YX-1326-SM-5H125	DATA_EVENT.00000748
GTEX-117YX-1426-SM-5H12H	DATA_EVENT.00000752
GTEX-117YX-1526-SM-5H12T	DATA_EVENT.00000756
GTEX-117YX-1626-SM-5GZZG	DATA_EVENT.00000760
GTEX-117YX-1726-SM-5GZZS	DATA_EVENT.00000764
GTEX-117YX-1826-SM-5H12K	DATA_EVENT.00000768
GTEX-117YX-1926-SM-5GIEC	DATA_EVENT.00000772
GTEX-117YX-2026-SM-5GIEF	DATA_EVENT.00000776
GTEX-117YX-2126-SM-5GIEL	DATA_EVENT.00000780
GTEX-117YX-2226-SM-5EGJJ	DATA_EVENT.00000784
GTEX-117YX-2326-SM-5H12W	DATA_EVENT.00000788
GTEX-117YX-2426-SM-5GZZJ	DATA_EVENT.00000792
GTEX-117YX-2526-SM-5EQ4Q	DATA_EVENT.00000796
GTEX-117YX-2626-SM-5EQ53	DATA_EVENT.00000800
GTEX-1192W-0001-SM-6WBTI	DATA_EVENT.00051116
GTEX-1192W-0005-SM-5NQBQ	DATA_EVENT.00000804
GTEX-1192W-0008-SM-5QGRE	DATA_EVENT.00000808
GTEX-1192W-0126-SM-5EGGS	DATA_EVENT.00000812
GTEX-1192W-0226-SM-5EGGT	DATA_EVENT.00000816
GTEX-1192W-0826-SM-5EGHE	DATA_EVENT.00000820
GTEX-1192W-2326-SM-5N9BS	DATA_EVENT.00000824
GTEX-1192W-2626-SM-5Q5AF	DATA_EVENT.00000828
GTEX-1192W-3026-SM-5GZZV	DATA_EVENT.00000832
GTEX-1192X-0004-SM-6WBTF	DATA_EVENT.00051120
GTEX-1192X-0005-SM-5NQC3	DATA_EVENT.00000836
GTEX-1192X-0008-SM-5Q5B7	DATA_EVENT.00000840
GTEX-1192X-0226-SM-5H12D	DATA_EVENT.00000844
GTEX-1192X-0326-SM-5H11U	DATA_EVENT.00000848
GTEX-1192X-0426-SM-5GIEE	DATA_EVENT.00000852
GTEX-1192X-0726-SM-5987R	DATA_EVENT.00000856
GTEX-1192X-1026-SM-5H12P	DATA_EVENT.00000860
GTEX-1192X-1126-SM-5EGGU	DATA_EVENT.00000864
GTEX-1192X-1526-SM-5H11I	DATA_EVENT.00000868
GTEX-1192X-1826-SM-5GIE2	DATA_EVENT.00000872
GTEX-1192X-2326-SM-5987X	DATA_EVENT.00000876
GTEX-1192X-2526-SM-59868	DATA_EVENT.00000880
GTEX-1192X-2726-SM-5N9DN	DATA_EVENT.00000884
GTEX-1192X-2926-SM-5N9BA	DATA_EVENT.00000888
GTEX-1192X-3026-SM-5N9BM	DATA_EVENT.00000892
GTEX-1192X-3126-SM-5N9BY	DATA_EVENT.00000896
GTEX-1192X-3226-SM-5987D	DATA_EVENT.00000900
GTEX-11DXW-0006-SM-5NQ7Y	DATA_EVENT.00000904
GTEX-11DXW-0008-SM-5Q59V	DATA_EVENT.00000908
GTEX-11DXW-0226-SM-5H122	DATA_EVENT.00000912
GTEX-11DXW-0326-SM-5H11W	DATA_EVENT.00000916
GTEX-11DXW-0426-SM-5H12E	DATA_EVENT.00000920
