id	method	protocol	rank	event_ts
DATA_EVENT.00000008	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000009	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000012	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000013	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000016	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000017	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000020	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-22
DATA_EVENT.00000021	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-22
DATA_EVENT.00000024	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-27
DATA_EVENT.00000025	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-27
DATA_EVENT.00000028	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000029	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000032	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-22
DATA_EVENT.00000033	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-22
DATA_EVENT.00000036	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000037	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000040	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-16
DATA_EVENT.00000041	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-16
DATA_EVENT.00000044	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000045	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000048	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000049	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000052	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000053	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000056	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-22
DATA_EVENT.00000057	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-22
DATA_EVENT.00000060	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000061	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000064	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000065	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000068	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000069	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000072	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000073	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000076	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000077	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000080	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000081	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000084	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000085	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000088	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000089	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000092	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000093	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000096	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000097	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000100	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000101	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000104	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000105	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000108	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-22
DATA_EVENT.00000109	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-22
DATA_EVENT.00000112	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000113	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000116	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-23
DATA_EVENT.00000117	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-23
DATA_EVENT.00000120	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00000121	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00000124	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000125	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000128	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-09-19
DATA_EVENT.00000129	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-09-19
DATA_EVENT.00000132	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000133	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
DATA_EVENT.00000136	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-23
DATA_EVENT.00000137	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-23
DATA_EVENT.00000140	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-22
DATA_EVENT.00000141	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-22
DATA_EVENT.00000144	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-22
DATA_EVENT.00000145	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-22
DATA_EVENT.00000148	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-05
DATA_EVENT.00000149	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-05
