FileID	DatasetID
FILE_ID.00000006	DATASET.00000001
FILE_ID.00000007	DATASET.00000003
FILE_ID.00000010	DATASET.00000001
FILE_ID.00000011	DATASET.00000003
FILE_ID.00000014	DATASET.00000001
FILE_ID.00000015	DATASET.00000003
FILE_ID.00000018	DATASET.00000001
FILE_ID.00000019	DATASET.00000003
FILE_ID.00000022	DATASET.00000001
FILE_ID.00000023	DATASET.00000003
FILE_ID.00000026	DATASET.00000001
FILE_ID.00000027	DATASET.00000003
FILE_ID.00000030	DATASET.00000001
FILE_ID.00000031	DATASET.00000003
FILE_ID.00000034	DATASET.00000001
FILE_ID.00000035	DATASET.00000003
FILE_ID.00000038	DATASET.00000001
FILE_ID.00000039	DATASET.00000003
FILE_ID.00000042	DATASET.00000001
FILE_ID.00000043	DATASET.00000003
FILE_ID.00000046	DATASET.00000001
FILE_ID.00000047	DATASET.00000003
FILE_ID.00000050	DATASET.00000001
FILE_ID.00000051	DATASET.00000003
FILE_ID.00000054	DATASET.00000001
FILE_ID.00000055	DATASET.00000003
FILE_ID.00000058	DATASET.00000001
FILE_ID.00000059	DATASET.00000003
FILE_ID.00000062	DATASET.00000001
FILE_ID.00000063	DATASET.00000003
FILE_ID.00000066	DATASET.00000001
FILE_ID.00000067	DATASET.00000003
FILE_ID.00000070	DATASET.00000001
FILE_ID.00000071	DATASET.00000003
FILE_ID.00000074	DATASET.00000001
FILE_ID.00000075	DATASET.00000003
FILE_ID.00000078	DATASET.00000001
FILE_ID.00000079	DATASET.00000003
FILE_ID.00000082	DATASET.00000001
FILE_ID.00000083	DATASET.00000003
FILE_ID.00000086	DATASET.00000001
FILE_ID.00000087	DATASET.00000003
FILE_ID.00000090	DATASET.00000001
FILE_ID.00000091	DATASET.00000003
FILE_ID.00000094	DATASET.00000001
FILE_ID.00000095	DATASET.00000003
FILE_ID.00000098	DATASET.00000001
FILE_ID.00000099	DATASET.00000003
FILE_ID.00000102	DATASET.00000001
FILE_ID.00000103	DATASET.00000003
FILE_ID.00000106	DATASET.00000001
FILE_ID.00000107	DATASET.00000003
FILE_ID.00000110	DATASET.00000001
FILE_ID.00000111	DATASET.00000003
FILE_ID.00000114	DATASET.00000001
FILE_ID.00000115	DATASET.00000003
FILE_ID.00000118	DATASET.00000001
FILE_ID.00000119	DATASET.00000003
FILE_ID.00000122	DATASET.00000001
FILE_ID.00000123	DATASET.00000003
FILE_ID.00000126	DATASET.00000001
FILE_ID.00000127	DATASET.00000003
FILE_ID.00000130	DATASET.00000001
FILE_ID.00000131	DATASET.00000003
FILE_ID.00000134	DATASET.00000001
FILE_ID.00000135	DATASET.00000003
FILE_ID.00000138	DATASET.00000001
FILE_ID.00000139	DATASET.00000003
FILE_ID.00000142	DATASET.00000001
FILE_ID.00000143	DATASET.00000003
FILE_ID.00000146	DATASET.00000001
FILE_ID.00000147	DATASET.00000003
FILE_ID.00000150	DATASET.00000001
FILE_ID.00000151	DATASET.00000003
FILE_ID.00000154	DATASET.00000001
FILE_ID.00000155	DATASET.00000003
FILE_ID.00000158	DATASET.00000001
FILE_ID.00000159	DATASET.00000003
FILE_ID.00000162	DATASET.00000001
FILE_ID.00000163	DATASET.00000003
FILE_ID.00000166	DATASET.00000001
FILE_ID.00000167	DATASET.00000003
FILE_ID.00000170	DATASET.00000001
FILE_ID.00000171	DATASET.00000003
FILE_ID.00000174	DATASET.00000001
FILE_ID.00000175	DATASET.00000003
FILE_ID.00000178	DATASET.00000001
FILE_ID.00000179	DATASET.00000003
FILE_ID.00000182	DATASET.00000001
FILE_ID.00000183	DATASET.00000003
FILE_ID.00000186	DATASET.00000001
FILE_ID.00000187	DATASET.00000003
FILE_ID.00000190	DATASET.00000001
FILE_ID.00000191	DATASET.00000003
FILE_ID.00000194	DATASET.00000001
FILE_ID.00000195	DATASET.00000003
FILE_ID.00000198	DATASET.00000001
FILE_ID.00000199	DATASET.00000003
FILE_ID.00000202	DATASET.00000001
FILE_ID.00000203	DATASET.00000003
FILE_ID.00000206	DATASET.00000001
FILE_ID.00000207	DATASET.00000003
FILE_ID.00000210	DATASET.00000001
FILE_ID.00000211	DATASET.00000003
FILE_ID.00000214	DATASET.00000001
FILE_ID.00000215	DATASET.00000003
FILE_ID.00000218	DATASET.00000001
FILE_ID.00000219	DATASET.00000003
FILE_ID.00000222	DATASET.00000001
FILE_ID.00000223	DATASET.00000003
FILE_ID.00000226	DATASET.00000001
FILE_ID.00000227	DATASET.00000003
FILE_ID.00000230	DATASET.00000001
FILE_ID.00000231	DATASET.00000003
FILE_ID.00000234	DATASET.00000001
FILE_ID.00000235	DATASET.00000003
FILE_ID.00000238	DATASET.00000001
FILE_ID.00000239	DATASET.00000003
FILE_ID.00000242	DATASET.00000001
FILE_ID.00000243	DATASET.00000003
FILE_ID.00000246	DATASET.00000001
FILE_ID.00000247	DATASET.00000003
FILE_ID.00000250	DATASET.00000001
FILE_ID.00000251	DATASET.00000003
FILE_ID.00000254	DATASET.00000001
FILE_ID.00000255	DATASET.00000003
FILE_ID.00000258	DATASET.00000001
FILE_ID.00000259	DATASET.00000003
FILE_ID.00000262	DATASET.00000001
FILE_ID.00000263	DATASET.00000003
FILE_ID.00000266	DATASET.00000001
FILE_ID.00000267	DATASET.00000003
FILE_ID.00000270	DATASET.00000001
FILE_ID.00000271	DATASET.00000003
FILE_ID.00000274	DATASET.00000001
FILE_ID.00000275	DATASET.00000003
FILE_ID.00000278	DATASET.00000001
FILE_ID.00000279	DATASET.00000003
FILE_ID.00000282	DATASET.00000001
FILE_ID.00000283	DATASET.00000003
FILE_ID.00000286	DATASET.00000001
FILE_ID.00000287	DATASET.00000003
FILE_ID.00000290	DATASET.00000001
FILE_ID.00000291	DATASET.00000003
FILE_ID.00000294	DATASET.00000001
FILE_ID.00000295	DATASET.00000003
FILE_ID.00000298	DATASET.00000001
FILE_ID.00000299	DATASET.00000003
FILE_ID.00000302	DATASET.00000001
FILE_ID.00000303	DATASET.00000003
FILE_ID.00000306	DATASET.00000001
FILE_ID.00000307	DATASET.00000003
FILE_ID.00000310	DATASET.00000001
FILE_ID.00000311	DATASET.00000003
FILE_ID.00000314	DATASET.00000001
FILE_ID.00000315	DATASET.00000003
FILE_ID.00000318	DATASET.00000001
FILE_ID.00000319	DATASET.00000003
FILE_ID.00000322	DATASET.00000001
FILE_ID.00000323	DATASET.00000003
FILE_ID.00000326	DATASET.00000001
FILE_ID.00000327	DATASET.00000003
FILE_ID.00000330	DATASET.00000001
FILE_ID.00000331	DATASET.00000003
FILE_ID.00000334	DATASET.00000001
FILE_ID.00000335	DATASET.00000003
FILE_ID.00000338	DATASET.00000001
FILE_ID.00000339	DATASET.00000003
FILE_ID.00000342	DATASET.00000001
FILE_ID.00000343	DATASET.00000003
FILE_ID.00000346	DATASET.00000001
FILE_ID.00000347	DATASET.00000003
FILE_ID.00000350	DATASET.00000001
FILE_ID.00000351	DATASET.00000003
FILE_ID.00000354	DATASET.00000001
FILE_ID.00000355	DATASET.00000003
FILE_ID.00000358	DATASET.00000001
FILE_ID.00000359	DATASET.00000003
FILE_ID.00000362	DATASET.00000001
FILE_ID.00000363	DATASET.00000003
FILE_ID.00000366	DATASET.00000001
FILE_ID.00000367	DATASET.00000003
FILE_ID.00000370	DATASET.00000001
FILE_ID.00000371	DATASET.00000003
FILE_ID.00000374	DATASET.00000001
FILE_ID.00000375	DATASET.00000003
FILE_ID.00000378	DATASET.00000001
FILE_ID.00000379	DATASET.00000003
FILE_ID.00000382	DATASET.00000001
FILE_ID.00000383	DATASET.00000003
FILE_ID.00000386	DATASET.00000001
FILE_ID.00000387	DATASET.00000003
FILE_ID.00000390	DATASET.00000001
