FileID	DataEventID
FILE_ID.00000006	DATA_EVENT.00000008
FILE_ID.00000007	DATA_EVENT.00000009
FILE_ID.00000010	DATA_EVENT.00000012
FILE_ID.00000011	DATA_EVENT.00000013
FILE_ID.00000014	DATA_EVENT.00000016
FILE_ID.00000015	DATA_EVENT.00000017
FILE_ID.00000018	DATA_EVENT.00000020
FILE_ID.00000019	DATA_EVENT.00000021
FILE_ID.00000022	DATA_EVENT.00000024
FILE_ID.00000023	DATA_EVENT.00000025
FILE_ID.00000026	DATA_EVENT.00000028
FILE_ID.00000027	DATA_EVENT.00000029
FILE_ID.00000030	DATA_EVENT.00000032
FILE_ID.00000031	DATA_EVENT.00000033
FILE_ID.00000034	DATA_EVENT.00000036
FILE_ID.00000035	DATA_EVENT.00000037
FILE_ID.00000038	DATA_EVENT.00000040
FILE_ID.00000039	DATA_EVENT.00000041
FILE_ID.00000042	DATA_EVENT.00000044
FILE_ID.00000043	DATA_EVENT.00000045
FILE_ID.00000046	DATA_EVENT.00000048
FILE_ID.00000047	DATA_EVENT.00000049
FILE_ID.00000050	DATA_EVENT.00000052
FILE_ID.00000051	DATA_EVENT.00000053
FILE_ID.00000054	DATA_EVENT.00000056
FILE_ID.00000055	DATA_EVENT.00000057
FILE_ID.00000058	DATA_EVENT.00000060
FILE_ID.00000059	DATA_EVENT.00000061
FILE_ID.00000062	DATA_EVENT.00000064
FILE_ID.00000063	DATA_EVENT.00000065
FILE_ID.00000066	DATA_EVENT.00000068
FILE_ID.00000067	DATA_EVENT.00000069
FILE_ID.00000070	DATA_EVENT.00000072
FILE_ID.00000071	DATA_EVENT.00000073
FILE_ID.00000074	DATA_EVENT.00000076
FILE_ID.00000075	DATA_EVENT.00000077
FILE_ID.00000078	DATA_EVENT.00000080
FILE_ID.00000079	DATA_EVENT.00000081
FILE_ID.00000082	DATA_EVENT.00000084
FILE_ID.00000083	DATA_EVENT.00000085
FILE_ID.00000086	DATA_EVENT.00000088
FILE_ID.00000087	DATA_EVENT.00000089
FILE_ID.00000090	DATA_EVENT.00000092
FILE_ID.00000091	DATA_EVENT.00000093
FILE_ID.00000094	DATA_EVENT.00000096
FILE_ID.00000095	DATA_EVENT.00000097
FILE_ID.00000098	DATA_EVENT.00000100
FILE_ID.00000099	DATA_EVENT.00000101
FILE_ID.00000102	DATA_EVENT.00000104
FILE_ID.00000103	DATA_EVENT.00000105
FILE_ID.00000106	DATA_EVENT.00000108
FILE_ID.00000107	DATA_EVENT.00000109
FILE_ID.00000110	DATA_EVENT.00000112
FILE_ID.00000111	DATA_EVENT.00000113
FILE_ID.00000114	DATA_EVENT.00000116
FILE_ID.00000115	DATA_EVENT.00000117
FILE_ID.00000118	DATA_EVENT.00000120
FILE_ID.00000119	DATA_EVENT.00000121
FILE_ID.00000122	DATA_EVENT.00000124
FILE_ID.00000123	DATA_EVENT.00000125
FILE_ID.00000126	DATA_EVENT.00000128
FILE_ID.00000127	DATA_EVENT.00000129
FILE_ID.00000130	DATA_EVENT.00000132
FILE_ID.00000131	DATA_EVENT.00000133
FILE_ID.00000134	DATA_EVENT.00000136
FILE_ID.00000135	DATA_EVENT.00000137
FILE_ID.00000138	DATA_EVENT.00000140
FILE_ID.00000139	DATA_EVENT.00000141
FILE_ID.00000142	DATA_EVENT.00000144
FILE_ID.00000143	DATA_EVENT.00000145
FILE_ID.00000146	DATA_EVENT.00000148
FILE_ID.00000147	DATA_EVENT.00000149
FILE_ID.00000150	DATA_EVENT.00000152
FILE_ID.00000151	DATA_EVENT.00000153
FILE_ID.00000154	DATA_EVENT.00000156
FILE_ID.00000155	DATA_EVENT.00000157
FILE_ID.00000158	DATA_EVENT.00000160
FILE_ID.00000159	DATA_EVENT.00000161
FILE_ID.00000162	DATA_EVENT.00000164
FILE_ID.00000163	DATA_EVENT.00000165
FILE_ID.00000166	DATA_EVENT.00000168
FILE_ID.00000167	DATA_EVENT.00000169
FILE_ID.00000170	DATA_EVENT.00000172
FILE_ID.00000171	DATA_EVENT.00000173
FILE_ID.00000174	DATA_EVENT.00000176
FILE_ID.00000175	DATA_EVENT.00000177
FILE_ID.00000178	DATA_EVENT.00000180
FILE_ID.00000179	DATA_EVENT.00000181
FILE_ID.00000182	DATA_EVENT.00000184
FILE_ID.00000183	DATA_EVENT.00000185
FILE_ID.00000186	DATA_EVENT.00000188
FILE_ID.00000187	DATA_EVENT.00000189
FILE_ID.00000190	DATA_EVENT.00000192
FILE_ID.00000191	DATA_EVENT.00000193
FILE_ID.00000194	DATA_EVENT.00000196
FILE_ID.00000195	DATA_EVENT.00000197
FILE_ID.00000198	DATA_EVENT.00000200
FILE_ID.00000199	DATA_EVENT.00000201
FILE_ID.00000202	DATA_EVENT.00000204
FILE_ID.00000203	DATA_EVENT.00000205
FILE_ID.00000206	DATA_EVENT.00000208
FILE_ID.00000207	DATA_EVENT.00000209
FILE_ID.00000210	DATA_EVENT.00000212
FILE_ID.00000211	DATA_EVENT.00000213
FILE_ID.00000214	DATA_EVENT.00000216
FILE_ID.00000215	DATA_EVENT.00000217
FILE_ID.00000218	DATA_EVENT.00000220
FILE_ID.00000219	DATA_EVENT.00000221
FILE_ID.00000222	DATA_EVENT.00000224
FILE_ID.00000223	DATA_EVENT.00000225
FILE_ID.00000226	DATA_EVENT.00000228
FILE_ID.00000227	DATA_EVENT.00000229
FILE_ID.00000230	DATA_EVENT.00000232
FILE_ID.00000231	DATA_EVENT.00000233
FILE_ID.00000234	DATA_EVENT.00000236
FILE_ID.00000235	DATA_EVENT.00000237
FILE_ID.00000238	DATA_EVENT.00000240
FILE_ID.00000239	DATA_EVENT.00000241
FILE_ID.00000242	DATA_EVENT.00000244
FILE_ID.00000243	DATA_EVENT.00000245
FILE_ID.00000246	DATA_EVENT.00000248
FILE_ID.00000247	DATA_EVENT.00000249
FILE_ID.00000250	DATA_EVENT.00000252
FILE_ID.00000251	DATA_EVENT.00000253
FILE_ID.00000254	DATA_EVENT.00000256
FILE_ID.00000255	DATA_EVENT.00000257
FILE_ID.00000258	DATA_EVENT.00000260
FILE_ID.00000259	DATA_EVENT.00000261
FILE_ID.00000262	DATA_EVENT.00000264
FILE_ID.00000263	DATA_EVENT.00000265
FILE_ID.00000266	DATA_EVENT.00000268
FILE_ID.00000267	DATA_EVENT.00000269
FILE_ID.00000270	DATA_EVENT.00000272
FILE_ID.00000271	DATA_EVENT.00000273
FILE_ID.00000274	DATA_EVENT.00000276
FILE_ID.00000275	DATA_EVENT.00000277
FILE_ID.00000278	DATA_EVENT.00000280
FILE_ID.00000279	DATA_EVENT.00000281
FILE_ID.00000282	DATA_EVENT.00000284
FILE_ID.00000283	DATA_EVENT.00000285
FILE_ID.00000286	DATA_EVENT.00000288
FILE_ID.00000287	DATA_EVENT.00000289
FILE_ID.00000290	DATA_EVENT.00000292
FILE_ID.00000291	DATA_EVENT.00000293
FILE_ID.00000294	DATA_EVENT.00000296
FILE_ID.00000295	DATA_EVENT.00000297
FILE_ID.00000298	DATA_EVENT.00000300
FILE_ID.00000299	DATA_EVENT.00000301
FILE_ID.00000302	DATA_EVENT.00000304
FILE_ID.00000303	DATA_EVENT.00000305
FILE_ID.00000306	DATA_EVENT.00000308
FILE_ID.00000307	DATA_EVENT.00000309
FILE_ID.00000310	DATA_EVENT.00000312
FILE_ID.00000311	DATA_EVENT.00000313
FILE_ID.00000314	DATA_EVENT.00000316
FILE_ID.00000315	DATA_EVENT.00000317
FILE_ID.00000318	DATA_EVENT.00000320
FILE_ID.00000319	DATA_EVENT.00000321
FILE_ID.00000322	DATA_EVENT.00000324
FILE_ID.00000323	DATA_EVENT.00000325
FILE_ID.00000326	DATA_EVENT.00000328
FILE_ID.00000327	DATA_EVENT.00000329
FILE_ID.00000330	DATA_EVENT.00000332
FILE_ID.00000331	DATA_EVENT.00000333
FILE_ID.00000334	DATA_EVENT.00000336
FILE_ID.00000335	DATA_EVENT.00000337
FILE_ID.00000338	DATA_EVENT.00000340
FILE_ID.00000339	DATA_EVENT.00000341
FILE_ID.00000342	DATA_EVENT.00000344
FILE_ID.00000343	DATA_EVENT.00000345
FILE_ID.00000346	DATA_EVENT.00000348
FILE_ID.00000347	DATA_EVENT.00000349
FILE_ID.00000350	DATA_EVENT.00000352
FILE_ID.00000351	DATA_EVENT.00000353
FILE_ID.00000354	DATA_EVENT.00000356
FILE_ID.00000355	DATA_EVENT.00000357
FILE_ID.00000358	DATA_EVENT.00000360
FILE_ID.00000359	DATA_EVENT.00000361
FILE_ID.00000362	DATA_EVENT.00000364
FILE_ID.00000363	DATA_EVENT.00000365
FILE_ID.00000366	DATA_EVENT.00000368
FILE_ID.00000367	DATA_EVENT.00000369
FILE_ID.00000370	DATA_EVENT.00000372
FILE_ID.00000371	DATA_EVENT.00000373
FILE_ID.00000374	DATA_EVENT.00000376
FILE_ID.00000375	DATA_EVENT.00000377
FILE_ID.00000378	DATA_EVENT.00000380
FILE_ID.00000379	DATA_EVENT.00000381
