file_nodeType	description	OBI_term_ID	OBI_term_name
16s_raw_seq_set		OBI:0002763	
16s_trimmed_seq_set		OBI:0002585	
abundance_matrix		OBI:0001968	
alignment		OBI:0002567	
annotation		OBI:0001944	
clustered_seq_set		OBI:0200175	
cytokine		OBI:0002766	
host_epigenetics_raw_seq_set		OBI:0002020	
host_transcriptomics_raw_seq_set		OBI:0001177	
host_variant_call		OBI:0001247	
host_wgs_raw_seq_set		OBI:0002117	
lipidome		OBI:0002761	
metabolome		OBI:0000366	
microb_transcriptomics_raw_seq_set		OBI:0001177	
proteome		OBI:0000615	
proteome_nonpride		OBI:0000615	
serology		OBI:0002145	
viral_seq_set		OBI:0002567	
wgs_assembled_seq_set		OBI:0001872	
wgs_raw_seq_set		OBI:0002623	
