anatomy_keyword	description	Uberon_term_ID	Uberon_term_name
FMA:10014	The ninth thoracic vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004633	thoracic vertebra 9
FMA:10037	The tenth thoracic vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004634	thoracic vertebra 10
FMA:10059	The eleventh thoracic vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004635	thoracic vertebra 11
FMA:10081	The twelfth thoracic vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004636	thoracic vertebra 12
FMA:10382	The costovertebral joints are the articulations that connect the heads of the ribs with the bodies of the thoracic vertebrae. Joining of ribs to the vertebrae occurs at two places, the head and the tubercle of the rib. Two convex facets from the head attach to two adjacent vertebrae. This forms a trochoid joint, which is strengthened by the ligament of the head and the intercapital ligament. Articulation of the tubercle is to the transverse process of the adjacent vertebrae. This articulation is reinforced by the dorsal costotransverse ligament. [WP,unvetted].	UBERON:0002292	costovertebral joint
FMA:10419	A duct that collects and carries secretions of the exocrine pancreas to the intestine.	UBERON:0007329	pancreatic duct
FMA:10420	The main excretory tubular canal that connects the parotid gland and the buccal mucosa and secretes a serous saliva into the vestibule of the oral cavity; it arises from the anterior surface of the gland, traversing the masseter muscle; the duct then pierces the buccinator muscle, moving medially, and opens out into the oral cavity near the second upper molar; saliva produced by acinar secretory cells in the glandular body flows sequentially through the intercalated ducts, striated ducts, and excretory ducts.	UBERON:0001065	parotid main excretory duct
FMA:10425	Interchondral Articulations (articulations of the cartilages of the ribs with each other). The contiguous borders of the sixth, seventh, and eighth, and sometimes those of the ninth and tenth, costal cartilages articulate with each other by small, smooth, oblong facets. Each articulation is enclosed in a thin articular capsule, lined by synovial membrane and strengthened laterally and medially by ligamentous fibers which pass from one cartilage to the other. Sometimes the fifth costal cartilages, more rarely the ninth and tenth, articulate by their lower borders with the adjoining cartilages by small oval facets; more frequently the connection is by a few ligamentous fibers.	UBERON:0002002	interchondral joint
FMA:10427	The external portion of an animal body derived from ectoderm and mesoderm layers that encloses the body cavity.	UBERON:0000309	body wall
FMA:10428	The thoracic wall (or chest wall) is the boundary of the thoracic cavity. The bony portion is known as the thoracic cage. However, the wall also includes muscle, skin, and fascia.	UBERON:0016403	thoracic wall
FMA:10429	The tissues that surround the organs that are present within the abdominal cavity. The abdominal wall tissue is composed of layers of fat, parietal peritoneum, fascia, and muscles.	UBERON:0003697	abdominal wall
FMA:10446	A pad of fibrocartilage between the articular surfaces of two successive vertebral centra which has nucleus pulposus at its core.	UBERON:0001066	intervertebral disk
FMA:10447	A synovial joint between the prezygapophysis of one vertebra and the postzygapophysis of the vertebra directly above it. There are two facet joints in each spinal motion segment[WP].	UBERON:0001067	vertebral arch joint
FMA:10455	An intervertebral disk that is part of a thoracic region of vertebral column. A thoracic intervertebral disk connects at least one thoracic vertebra, either to another thoracic vertebra, or at one point on the vertebral colummn, to a lumbar vertebra	UBERON:0007254	intervertebral disk of thoracic vertebra
FMA:10461	Zone of skin that is part of the anterior region of the chest	UBERON:0019200	skin of anterior chest
FMA:10462	A zone of skin that is part of a back [Automatically generated definition].	UBERON:0001068	skin of back
FMA:10465	The inferior tibiofibular articulation (tibiofibular syndesmosis) is formed by the rough, convex surface of the medial side of the lower end of the fibula, and a rough concave surface on the lateral side of the tibia. Below, to the extent of about 4 mm. these surfaces are smooth, and covered with cartilage, which is continuous with that of the ankle-joint. The ligaments are: Anterior ligament of the lateral malleolus, Posterior ligament of the lateral malleolus, Inferior transverse ligament of the tibiofibular syndesmosis, Interosseous ligament	UBERON:0011113	inferior tibiofibular joint
FMA:10468	The head of pancreas is a portion of the pancreas that is lodged within the curve of the duodenum, and is flattened anteriorly (from before). The other parts of the pancreas are the body and the tail. Its upper border is overlapped by the superior part of the duodenum and its lower overlaps the horizontal part; its right and left borders overlap in front, and insinuate themselves behind, the descending and ascending parts of the duodenum respectively. [WP,unvetted].	UBERON:0001069	head of pancreas
FMA:10483		UBERON:0005913	zone of bone organ
FMA:10635	A terminal branch of the left or right common carotid artery which supplies oxygenated blood to to the throat, neck glands, tongue, face, mouth, ear, scalp and dura mater of the meninges[MP]	UBERON:0001070	external carotid artery
