id	name	description	synonyms
http://edamontology.org/format_1929	FASTA	FASTA format including NCBI-style IDs.	FASTA sequence format|FASTA format
http://edamontology.org/format_1930	FASTQ	FASTQ short read format ignoring quality scores.	FASTAQ|fq
http://edamontology.org/format_1975	GFF3	Generic Feature Format version 3 (GFF3) of sequence features.	
http://edamontology.org/format_2554	Alignment format (text)	Text format for molecular sequence alignment information.	
http://edamontology.org/format_2572	BAM	BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s). May contain base-call and alignment qualities and other data.	
http://edamontology.org/format_3016	VCF	Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation).	
http://edamontology.org/format_3244	mzML	mzML format for raw spectrometer output data, standardised by HUPO PSI MSS.|mzML is the successor and unifier of the mzData format developed by PSI and mzXML developed at the Seattle Proteome Center.	
http://edamontology.org/format_3284	SFF	Standard flowgram format (SFF) is a binary file format used to encode results of pyrosequencing from the 454 Life Sciences platform for high-throughput sequencing.	Standard flowgram format
http://edamontology.org/format_3475	TSV	Tabular data represented as tab-separated values in a text file.	Tab-delimited|Tab-separated values
http://edamontology.org/format_3654	mzXML	Common file format for proteomics mass spectrometric data developed at the Seattle Proteome Center/Institute for Systems Biology.	
http://edamontology.org/format_3712	Thermo RAW	Proprietary file format for mass spectrometry data from Thermo Scientific.|Proprietary format for which documentation is not available.	
http://edamontology.org/format_3746	BIOM format	The BIological Observation Matrix (BIOM) is a format for representing biological sample by observation contingency tables in broad areas of comparative omics. The primary use of this format is to represent OTU tables and metagenome tables.|BIOM is a recognised standard for the Earth Microbiome Project, and is a project supported by Genomics Standards Consortium. Supported in QIIME, Mothur, MEGAN, etc.	BIological Observation Matrix format
http://edamontology.org/format_3751	DSV	Tabular data represented as values in a text file delimited by some character.	Tabular format|Delimiter-separated values
