id	name	description
phs000001	NEI Age-Related Eye Disease Study (AREDS)	The Age-Related Eye Disease Study (AREDS) was initially designed as a long-term multi-center, prospective study of the clinical course of age-related macular degeneration (AMD) and age-related cataract. In addition to  collecting natural history data, AREDS included a clinical trial of high-dose vitamin and mineral supplements for AMD and a clinical trial of high
phs000007	Framingham Cohort	Startup of Framingham Heart Study. Cardiovascular disease (CVD) is the leading cause of death and serious illness in the United States. In 1948, the Framingham Heart Study (FHS) -- under  the direction of the National Heart Institute (now known as the National Heart, Lung, and Blood Institute, NHLBI) -- embarked on a novel and
phs000178	The Cancer Genome Atlas (TCGA)	The Cancer Genome Atlas (TCGA) is a comprehensive and coordinated effort to accelerate our understanding of the molecular basis of cancer through the application of genome analysis technologies, including large-scale  genome sequencing. TCGA is a joint effort of the National Cancer Institute (NCI) and the National Human Genome Research Institute (NHGRI), which are
phs000179	Genetic Epidemiology of COPD (COPDGene)	Chronic obstructive pulmonary disease (COPD) is the fourth leading cause of death in the United States and the only leading cause of death that is steadily increasing in frequency. This  project will establish a racially diverse cohort that is sufficiently large and appropriately designed for genome-wide association analysis of COPD
phs000200	Women's Health Initiative	The Women's Health Initiative (WHI) is a long-term national health study that has focused on strategies for preventing heart disease, breast and colorectal cancer, and osteoporotic fractures in postmenopausal women.  The original WHI study included 161,808 postmenopausal women enrolled between 1993 and 1998. The Fred Hutchinson Cancer Research Center in Seattle
phs000209	Multi-Ethnic Study of Atherosclerosis (MESA) Cohort	MESA The Multi-Ethnic Study of Atherosclerosis (MESA) is a study of the characteristics of subclinical cardiovascular disease (disease detected non-invasively before it has produced clinical signs and symptoms) and the  risk factors that predict progression to clinically overt cardiovascular disease or progression of the subclinical disease. MESA researchers study a
phs000218	National Cancer Institute (NCI) TARGET: Therapeutically Applicable    Research to Generate Effective Treatments	The Therapeutically Applicable Research to Generate Effective Treatments (TARGET) Initiative seeks to accelerate research in novel marker and drug development, along with understanding the molecular basis of pediatric malignancy, through  identification of genomic changes associated with the following childhood cancers: Acute Lymphoblastic Leukemia (ALL) - A fast-growing type of blood
phs000235	National Cancer Institute Cancer Genome Characterization Initiative    (CGCI)	The Office of Cancer Genomics at the National Cancer Institute is sponsoring a series of studies as part of the Cancer Genome Characterization Initiative (CGCI) to assess novel emerging sequencing  technologies in cancer. The CGCI program includes comprehensive characterization of the genetic aberrations found in different pediatric and/or adult
phs000280	Atherosclerosis Risk in Communities (ARIC) Cohort	The Atherosclerosis Risk in Communities (ARIC) Study, sponsored by the National Heart, Lung and Blood Institute (NHLBI), is a prospective epidemiologic study conducted in four U.S. communities. The four communities  are Forsyth County, NC; Jackson, MS; the northwest suburbs of Minneapolis, MN; and Washington County, MD. ARIC is designed to investigate the
phs000285	CARDIA Cohort	CARDIA is a study examining the etiology and natural history of cardiovascular disease beginning in young adulthood. In 1985-1986, a cohort of 5115 healthy black and white men and women  aged 18-30 years were selected to have approximately the same number of people in subgroups of age (18-24 and 25-30), sex, race, and education (high
phs000286	The Jackson Heart Study (JHS)	The Jackson Heart Study (JHS) is a large, community-based, observational study whose participants were recruited from urban and rural areas of the three counties (Hinds, Madison and Rankin) that make  up the Jackson, MS metropolitan statistical area (MSA). Participants were enrolled from each of 4 recruitment pools: random, 17%; volunteer, 30
phs000287	Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational    study of risk factors for cardiovascular disease in adults 65 years or    older	The Cardiovascular Health Study (CHS) is a prospective study of risk factors for development and progression of CHD and stroke in people aged 65 years and older. The 5,888 study  participants were recruited from four U.S. communities and have undergone extensive clinic examinations for evaluation of markers of subclinical
phs000631	ARDSnet and the iSPAAR Consortium: Genetic Studies	Acute Respiratory Distress Syndrome (ARDS)/ Acute Lung Injury (ALI) is a syndrome defined by the presence of acute hypoxemic respiratory failure, bilateral pulmonary infiltrates on chest radiograph, a known clinical  risk factor (e.g. sepsis, pneumonia, trauma, gastric fluid aspiration, pancreatitis, massive transfusion), and the absence of physiologic or clinical
phs000640	HeLa Cell Genome Sequencing Studies	This study contains all authorized whole genome sequence data of the HeLa cell line from datasets currently in dbGaP. These data have been approved for health, medical, and/or biomedical research  purposes. Access to these data can be granted for one year. Accessible data will include the studies listed on this page and any additional
phs000653	Epi4K: Gene Discovery in 4,000 Epilepsy Genomes	The Epi4K project began in 2011 as an international, multi-center study that seeks to identify and characterize the genetic bases of complex epilepsies. The Center without Walls Epi4K project includes  three cores and four scientific projects, as well as a steering committee comprised of the primary study investigators and representatives from the
phs000684	Age-Related Macular Degeneration - MMAP Cohort: Association and    Sequencing Studies	Age-related Macular Degeneration (AMD) is a leading cause of incurable blindness in people over the age of 65. AMD is a late-onset multi-factorial neurodegenerative disease and its pathogenesis involves interaction  of genetic and environmental factors. Several chromosomal regions have been associated with AMD susceptibility through linkage analysis (Swaroop et
phs000700	RoadmapEpigenomics_Broad	For the NIH Roadmap Epigenomics project, we applied ChlP-Seq, HTBS and WGBS pipelines to generate comprehensive high-resolution maps of chromatin state and DNA methylation for 100 diverse cell types. Cell  types were selected for their biological and medical importance, and for their potential to maximize the comprehensiveness of acquired epigenomic
phs000703	CATHeterization GENetics (CATHGEN)	The CATHGEN biorepository consists of biological samples collected on 9334 sequential consenting individuals undergoing cardiac catheterization at Duke University Medical Center between 2001 and 2010 inclusive. The Institutional Review Board  informed consent allowed for 50 mL of blood to be collected from fasting patients through the femoral arterial sheath during the catheterization
phs000725	Rare Cancer Tumors Project	A large proportion of common cancers affecting patients around the world have been selected for comprehensive cancer genome studies. Further efforts will be needed to tackle the remaining tumor types,  including the rare forms of cancers. Although rare, these cancers tend to be more aggressive and fast growing with an early recurrence following
phs000743	METSIM (METabolic Syndrome In Men) Study	The METSIM Study includes 10,197 men, aged from 45 to 73 years, randomly selected from the population register of the town of Kuopio, Eastern Finland, and examined in 2005-2010. The  aim of the study is to investigate genetic and non-genetic factors associated with the risk of type 2 diabetes (T2D), cardiovascular disease (CVD
phs000755	BrainSpan Atlas of the Human Brain	The NIH-funded BrainSpan (www.brainspan.org) and PsychENCODE (www.psychencode.org). Consortia sought to generate and analyze multi-dimensional genomics data from the developing and adult human brain in healthy and disease states. One of  the main goals has been to perform large-scale and integrated analysis of the genome, transcriptome, and epigenome of the human brain to broaden our
phs000761	Orofacial Pain: Prospective Evaluation and Risk Assessment (OPPERA)	The OPPERA project has two sub-studies investigating effects of genetic, physiological, psychological and clinical factors on the risk of developing painful temporomandibular disorder (TMD). 1. OPPERA I baseline case-control study  of chronic TMJD (dbGaP study accession phs000762). This sub-study uses a case-control study design to investigate characteristics associated with
phs000788	Research Program on Genes, Environment and Health (RPGEH)	The Kaiser Permanente Research Program on Genes, Environment, and Health (RPGEH) is a resource developed to facilitate research on genetic and environmental factors on common diseases and healthy aging. The  RPGEH resource links biospecimens, health surveys, and comprehensive electronic medical records on broadly consented adult members of Kaiser
phs000801	NCI Non-Hodgkin Lymphoma GWAS	Within the framework of the International Lymphoma Epidemiology Consortium (InterLymph) Consortium and NCI-sponsored Cohort Consortium, investigators from 22 studies came together to conduct a genome-wide association study (GWAS) of non-Hodgkin  lymphoma (NHL). The goal of the study was to identify common genetic variants associated with the risk of NHL. As described previously (Berndt SI et
phs000810	Hispanic Community Health Study /Study of Latinos (HCHS/SOL)	The Hispanic Community Health Study / Study of Latinos (HCHS/SOL) is a multi-center epidemiologic study in Hispanic/Latino populations to determine the role of acculturation in the prevalence and development of  disease, and to identify risk factors playing a protective or harmful role in Hispanics/Latinos. The study is sponsored by the National Heart, Lung
